,ver_claim_ids,pos
0,vclaim-pol-00000,"['vanvalkenburg', 'that']"
1,vclaim-pol-00001,['number']
2,vclaim-pol-00002,[]
3,vclaim-pol-00003,['billion']
4,vclaim-pol-00004,['graham']
5,vclaim-pol-00005,"['hearings', 'schiff', 'they']"
6,vclaim-pol-00006,['democrats']
7,vclaim-pol-00007,"['clinton', 'husband', 'foundation']"
8,vclaim-pol-00008,['garden']
9,vclaim-pol-00009,"['you', 'texas', 'i', 'i']"
10,vclaim-pol-00010,"['i', 'i', 'you', 'you']"
11,vclaim-pol-00011,"['laws', 'they', 'you']"
12,vclaim-pol-00012,[]
13,vclaim-pol-00013,"['that', 'parliament', 'it']"
14,vclaim-pol-00014,"['landers', 'we', 'others', 'we', 'they', 'we', 'they']"
15,vclaim-pol-00015,['motors']
16,vclaim-pol-00016,['turbines']
17,vclaim-pol-00017,['congress']
18,vclaim-pol-00018,"['funds', 'foundation', 'which', 'that']"
19,vclaim-pol-00019,"['trump', 'they', 'they', 'i']"
20,vclaim-pol-00020,['trump']
21,vclaim-pol-00021,['impeachment']
22,vclaim-pol-00022,"['obama', 'he', 'it']"
23,vclaim-pol-00023,"['baldwin', 'they']"
24,vclaim-pol-00024,['photo']
25,vclaim-pol-00025,"['photo', 'that']"
26,vclaim-pol-00026,['list']
27,vclaim-pol-00027,"['barnes', 'you']"
28,vclaim-pol-00028,['they']
29,vclaim-pol-00029,"['i', '%', 'they']"
30,vclaim-pol-00030,"['items', 'that']"
31,vclaim-pol-00031,['majority']
32,vclaim-pol-00032,['most']
33,vclaim-pol-00033,"['trump', 'he']"
34,vclaim-pol-00034,"['trump', 'he', 'he', 'he']"
35,vclaim-pol-00035,['aarp']
36,vclaim-pol-00036,"['hemp', 'that', 'it', 'that']"
37,vclaim-pol-00037,"['coleman', 'we']"
38,vclaim-pol-00038,[]
39,vclaim-pol-00039,['photo']
40,vclaim-pol-00040,['i']
41,vclaim-pol-00041,['california']
42,vclaim-pol-00042,['trump']
43,vclaim-pol-00043,"['father', 'we']"
44,vclaim-pol-00044,"['trump', 'states']"
45,vclaim-pol-00045,['folks']
46,vclaim-pol-00046,['city']
47,vclaim-pol-00047,"['people', 'percent']"
48,vclaim-pol-00048,['kurds']
49,vclaim-pol-00049,"['people', 'percent']"
50,vclaim-pol-00050,"['you', 'you']"
51,vclaim-pol-00051,"['paine', 'king', 'it']"
52,vclaim-pol-00052,"['states', 'it']"
53,vclaim-pol-00053,"['photo', 'potus']"
54,vclaim-pol-00054,['%']
55,vclaim-pol-00055,['ohio']
56,vclaim-pol-00056,"['taxes', 'fact', 'they']"
57,vclaim-pol-00057,"['i', 'families', 'that', 'problem']"
58,vclaim-pol-00058,"['americans', 'they']"
59,vclaim-pol-00059,"['trump', 'networks', 'facebook']"
60,vclaim-pol-00060,['northam']
61,vclaim-pol-00061,"['barr', 'us', 'iran']"
62,vclaim-pol-00062,"['smith', 'barr']"
63,vclaim-pol-00063,[]
64,vclaim-pol-00064,"['press', 'inequality']"
65,vclaim-pol-00065,['son']
66,vclaim-pol-00066,['department']
67,vclaim-pol-00067,['facebook']
68,vclaim-pol-00068,['pelosi']
69,vclaim-pol-00069,"['whistleblower', 'soros']"
70,vclaim-pol-00070,[]
71,vclaim-pol-00071,"['biden', 'prosecutor', 'democrats']"
72,vclaim-pol-00072,"['millionaires', 'trump']"
73,vclaim-pol-00073,[]
74,vclaim-pol-00074,[]
75,vclaim-pol-00075,['sons']
76,vclaim-pol-00076,['bishop']
77,vclaim-pol-00077,"['production', 'patrol']"
78,vclaim-pol-00078,['aide']
79,vclaim-pol-00079,"['information', 'whistleblower']"
80,vclaim-pol-00080,"['policies', 'that', 'we']"
81,vclaim-pol-00081,"['roem', 'that']"
82,vclaim-pol-00082,"['study', 'households']"
83,vclaim-pol-00083,"['biden', 'he', 'picture', 'he']"
84,vclaim-pol-00084,"['government', 'it']"
85,vclaim-pol-00085,['rodman']
86,vclaim-pol-00086,['we']
87,vclaim-pol-00087,['schiff']
88,vclaim-pol-00088,"['lewinsky', 'she', 'that', 'that']"
89,vclaim-pol-00089,"['%', 'percent']"
90,vclaim-pol-00090,['%']
91,vclaim-pol-00091,"['checks', 'that']"
92,vclaim-pol-00092,[]
93,vclaim-pol-00093,[]
94,vclaim-pol-00094,['we']
95,vclaim-pol-00095,"['obama', 'senators']"
96,vclaim-pol-00096,['bull']
97,vclaim-pol-00097,[]
98,vclaim-pol-00098,"['impeachment', 'trump']"
99,vclaim-pol-00099,['israel']
100,vclaim-pol-00100,[]
101,vclaim-pol-00101,['bridge']
102,vclaim-pol-00102,['i']
103,vclaim-pol-00103,"['dunnavant', 'that', 'companies']"
104,vclaim-pol-00104,['half']
105,vclaim-pol-00105,"['highways', 'ranking', 'we', 'we']"
106,vclaim-pol-00106,['states']
107,vclaim-pol-00107,['eastwood']
108,vclaim-pol-00108,"['chapo', 'comey']"
109,vclaim-pol-00109,[]
110,vclaim-pol-00110,['mccrory']
111,vclaim-pol-00111,['scott']
112,vclaim-pol-00112,['%']
113,vclaim-pol-00113,"['photo', 'thunberg']"
114,vclaim-pol-00114,"['warren', '2', 'booker', '0', 'harris', '0', 'sanders', 'he']"
115,vclaim-pol-00115,['hires']
116,vclaim-pol-00116,"['photo', 'he']"
117,vclaim-pol-00117,['deal']
118,vclaim-pol-00118,['evers']
119,vclaim-pol-00119,"['photograph', 'woman']"
120,vclaim-pol-00120,['rooney']
121,vclaim-pol-00121,['unemployment']
122,vclaim-pol-00122,"['aurelius', 'everything', 'we', 'everything', 'we']"
123,vclaim-pol-00123,[]
124,vclaim-pol-00124,['lot']
125,vclaim-pol-00125,"['photo', 'who']"
126,vclaim-pol-00126,"['hussein', 'we']"
127,vclaim-pol-00127,['police']
128,vclaim-pol-00128,"['%', 'liberty']"
129,vclaim-pol-00129,"['we', 'we']"
130,vclaim-pol-00130,"['europe', 'they', 'we']"
131,vclaim-pol-00131,['ice']
132,vclaim-pol-00132,"['photo', 'protesters']"
133,vclaim-pol-00133,"['girl', 'they']"
134,vclaim-pol-00134,"['cox', 'teachers']"
135,vclaim-pol-00135,[]
136,vclaim-pol-00136,"['diplomacy', 'they']"
137,vclaim-pol-00137,['you']
138,vclaim-pol-00138,"['trump', 'democrats', 'we', 'they', 'i', 'this', 'i', 'i', 'they', 'people']"
139,vclaim-pol-00139,['i']
140,vclaim-pol-00140,"['statistics', 'americans']"
141,vclaim-pol-00141,"['administration', 'shelters']"
142,vclaim-pol-00142,['scott']
143,vclaim-pol-00143,"['uncover(ed', 'it']"
144,vclaim-pol-00144,[]
