,ver_claim_ids,ver_claim_encodings
0,vclaim-pol-00000,"[ 0.00746889 -0.01846294  0.07843843 ...  0.02800838  0.00091343
 -0.01385639]"
1,vclaim-pol-00001,"[ 0.00746889 -0.02607531  0.03920085 ...  0.03766101  0.06108817
  0.0252498 ]"
2,vclaim-pol-00002,"[ 0.00746889 -0.06586801  0.11234615 ...  0.02332484  0.02000786
  0.00069793]"
3,vclaim-pol-00003,"[ 0.00746889 -0.01507066  0.02018676 ...  0.00585962  0.02440781
  0.02428083]"
4,vclaim-pol-00004,"[ 0.00746889 -0.06900265  0.12993681 ... -0.02388004  0.00663667
  0.01027967]"
5,vclaim-pol-00005,"[ 0.00746889 -0.04656222  0.04548959 ...  0.01113305  0.00968497
  0.01015561]"
6,vclaim-pol-00006,"[ 0.00746889  0.00076179  0.09183664 ...  0.03612623  0.04560084
 -0.01385639]"
7,vclaim-pol-00007,[0.00746889 0.10238741 0.08781689 ... 0.063264   0.05982361 0.04516112]
8,vclaim-pol-00008,"[ 0.00746889 -0.06586801  0.05551103 ...  0.03947248  0.0662017
 -0.01203525]"
9,vclaim-pol-00009,"[ 0.00746889 -0.04981589  0.17331064 ...  0.03382178  0.05144653
  0.01556701]"
10,vclaim-pol-00010,[0.00746889 0.04537673 0.04567453 ... 0.06523623 0.04709587 0.00481786]
11,vclaim-pol-00011,"[ 0.00746889 -0.04382824  0.03864646 ...  0.05251257  0.02926487
 -0.01385639]"
12,vclaim-pol-00012,"[ 0.00746889 -0.04395806 -0.03457254 ...  0.04726402  0.02747456
  0.00059024]"
13,vclaim-pol-00013,[0.00746889 0.29580992 0.09998048 ... 0.03952751 0.06875905 0.00230723]
14,vclaim-pol-00014,"[ 0.00746889 -0.01825384  0.03095204 ...  0.10755397  0.04236189
  0.01700673]"
15,vclaim-pol-00015,"[ 0.00746889 -0.06985822  0.01553236 ... -0.02954997  0.01988877
 -0.01385639]"
16,vclaim-pol-00016,"[ 0.00746889 -0.11381495  0.08887608 ...  0.02604833  0.01197982
 -0.00697848]"
17,vclaim-pol-00017,"[ 0.00746889 -0.06586801  0.0747793  ...  0.01406517  0.08454713
  0.03412385]"
18,vclaim-pol-00018,[0.00746889 0.03028082 0.11441196 ... 0.03771629 0.03672533 0.01351794]
19,vclaim-pol-00019,[0.00746889 0.02806544 0.1059854  ... 0.0502188  0.02229399 0.01128859]
20,vclaim-pol-00020,"[ 0.00746889 -0.05139837  0.05914256 ...  0.03507866 -0.0039639
 -0.00432206]"
21,vclaim-pol-00021,"[ 0.00746889  0.04722962 -0.00432406 ...  0.01941289 -0.0144688
  0.01626239]"
22,vclaim-pol-00022,"[ 0.00746889  0.0110954   0.07892363 ...  0.09958049  0.01159595
 -0.00538333]"
23,vclaim-pol-00023,"[ 0.00746889  0.06962909  0.12168359 ...  0.01190362  0.03175462
 -0.01090403]"
24,vclaim-pol-00024,"[ 0.00746889  0.17241003  0.0764095  ... -0.00816621 -0.00216366
  0.02153292]"
25,vclaim-pol-00025,[0.00746889 0.15484573 0.069287   ... 0.04152079 0.06968863 0.0118074 ]
26,vclaim-pol-00026,"[ 0.00746889 -0.02107395  0.03175067 ...  0.0386583   0.03316077
  0.00379197]"
27,vclaim-pol-00027,"[ 0.00746889 -0.02315816  0.16806614 ...  0.00998891 -0.01308919
  0.02323699]"
28,vclaim-pol-00028,"[ 0.00746889 -0.01165782  0.1203959  ...  0.03317713  0.03848007
 -0.00410893]"
29,vclaim-pol-00029,"[ 0.00746889 -0.00693938  0.06877074 ...  0.06508078  0.05303226
  0.0169173 ]"
30,vclaim-pol-00030,[0.00746889 0.03020312 0.13026439 ... 0.02259308 0.04440787 0.04079974]
31,vclaim-pol-00031,"[ 0.00746889 -0.00428844  0.09113402 ...  0.02359682  0.01937432
  0.0062206 ]"
32,vclaim-pol-00032,"[ 0.00746889 -0.05189734  0.05326368 ...  0.038057    0.01866755
  0.00140443]"
33,vclaim-pol-00033,"[ 0.00746889 -0.0030112   0.06433167 ...  0.07541703  0.04810393
 -0.00242446]"
34,vclaim-pol-00034,"[7.46888993e-03 2.93684434e-02 1.09281324e-01 ... 8.32525790e-02
 4.46512513e-02 3.49190559e-05]"
35,vclaim-pol-00035,"[ 0.00746889 -0.11368247  0.06319842 ... -0.06650218 -0.04434213
  0.01740823]"
36,vclaim-pol-00036,"[ 0.00746889 -0.05785043  0.0831533  ...  0.04430773  0.03369128
 -0.00976114]"
37,vclaim-pol-00037,"[ 0.00746889  0.0324236   0.06785646 ...  0.01293136 -0.0178767
 -0.0068953 ]"
38,vclaim-pol-00038,"[ 0.00746889 -0.06586801  0.14573193 ...  0.03608099  0.05060484
 -0.01385639]"
39,vclaim-pol-00039,"[ 0.00746889 -0.06586801  0.069287   ...  0.03319556 -0.00387759
  0.03873859]"
40,vclaim-pol-00040,"[ 0.00746889  0.06207554 -0.00568443 ...  0.05455844  0.02421889
  0.01087687]"
41,vclaim-pol-00041,"[ 0.00746889 -0.06586801  0.00881872 ...  0.08949853  0.05844447
  0.00810015]"
42,vclaim-pol-00042,[0.00746889 0.02806544 0.01749402 ... 0.01604227 0.02140089 0.05943239]
43,vclaim-pol-00043,"[ 0.00746889  0.17685102  0.03451747 ...  0.04223732  0.06148972
 -0.00883124]"
44,vclaim-pol-00044,"[ 0.00746889  0.02806544  0.0237518  ...  0.03165343  0.01240996
 -0.00800724]"
45,vclaim-pol-00045,"[ 0.00746889 -0.03632627  0.04832685 ...  0.02912547  0.08634783
 -0.01385639]"
46,vclaim-pol-00046,"[ 0.00746889 -0.06945135  0.07223534 ...  0.02676022  0.04707892
  0.00024823]"
47,vclaim-pol-00047,"[ 0.00746889 -0.04216365  0.08451323 ...  0.07867053  0.08193356
  0.02393885]"
48,vclaim-pol-00048,"[ 0.00746889 -0.06731595  0.00688266 ... -0.00517287  0.00251846
 -0.00486009]"
49,vclaim-pol-00049,"[ 0.00746889 -0.03509396  0.00827626 ...  0.05468413  0.04756249
 -0.00148154]"
50,vclaim-pol-00050,"[ 0.00746889 -0.06348167  0.05613225 ...  0.03502383  0.01146038
  0.00587246]"
51,vclaim-pol-00051,[0.00746889 0.05245496 0.10383359 ... 0.07894386 0.01806999 0.01152396]
52,vclaim-pol-00052,[0.00746889 0.125307   0.02241349 ... 0.06265314 0.03869394 0.0082903 ]
53,vclaim-pol-00053,"[ 0.00746889 -0.05581965  0.116106   ...  0.03637633  0.02016916
 -0.00558907]"
54,vclaim-pol-00054,"[ 0.00746889 -0.03131993  0.05214606 ...  0.02510905 -0.00959312
  0.00405966]"
55,vclaim-pol-00055,"[ 0.00746889 -0.05126138  0.04499111 ...  0.01275453 -0.01628918
 -0.01385639]"
56,vclaim-pol-00056,"[7.4688899e-03 7.6822639e-03 1.0101200e-01 ... 2.7391059e-02 2.9853551e-02
 2.0386573e-05]"
57,vclaim-pol-00057,"[ 0.00746889 -0.03512543  0.01699265 ...  0.01191889  0.02112293
  0.00554953]"
58,vclaim-pol-00058,"[ 0.00746889 -0.03540943  0.08367406 ...  0.01621886  0.03680188
 -0.01385639]"
59,vclaim-pol-00059,"[ 0.00746889 -0.03781305  0.07537859 ...  0.02812496  0.04910712
  0.00017751]"
60,vclaim-pol-00060,"[ 0.00746889  0.01413508  0.0563936  ...  0.04755817  0.01886215
 -0.00427268]"
61,vclaim-pol-00061,[0.00746889 0.0878356  0.09843379 ... 0.02673981 0.01602239 0.02104181]
62,vclaim-pol-00062,[0.00746889 0.05953687 0.08285616 ... 0.01629076 0.03808754 0.01814719]
63,vclaim-pol-00063,[0.00746889 0.02281763 0.07686399 ... 0.05708537 0.02051413 0.00971687]
64,vclaim-pol-00064,[0.00746889 0.04265587 0.08388843 ... 0.02751535 0.03945239 0.01910349]
65,vclaim-pol-00065,[0.00746889 0.13045937 0.04528081 ... 0.02095644 0.00502166 0.01295313]
66,vclaim-pol-00066,"[ 0.00746889 -0.10434038  0.10987147 ...  0.05148378  0.02773292
  0.00059925]"
67,vclaim-pol-00067,"[ 0.00746889 -0.06586801  0.11362332 ...  0.01985736  0.02667815
 -0.01385639]"
68,vclaim-pol-00068,"[ 0.00746889 -0.06586801  0.05696655 ... -0.00190398  0.00225391
  0.01271177]"
69,vclaim-pol-00069,"[ 0.00746889 -0.05434803  0.03858157 ...  0.0304202   0.00407813
  0.00398736]"
70,vclaim-pol-00070,"[ 0.00746889 -0.06586801  0.04416953 ...  0.01900501  0.06871066
 -0.01164242]"
71,vclaim-pol-00071,"[ 0.00746889  0.09462489  0.04539044 ...  0.05901421 -0.00636896
  0.01040781]"
72,vclaim-pol-00072,"[ 0.00746889 -0.00805208  0.10604872 ... -0.00230753  0.01595798
 -0.00375946]"
73,vclaim-pol-00073,"[ 0.00746889 -0.0441555   0.11471166 ...  0.02737283  0.01247473
  0.02584263]"
74,vclaim-pol-00074,"[ 0.00746889 -0.09700565  0.09861995 ...  0.02915053  0.05640992
  0.00318834]"
75,vclaim-pol-00075,"[ 0.00746889  0.20724167  0.04147989 ...  0.00778064 -0.00961845
  0.02003338]"
76,vclaim-pol-00076,[0.00746889 0.11461575 0.04672894 ... 0.01018591 0.01890976 0.00443665]
77,vclaim-pol-00077,"[ 0.00746889 -0.03360405  0.0627104  ...  0.06241633  0.06180099
  0.02992582]"
78,vclaim-pol-00078,"[ 0.00746889  0.01184141  0.07087222 ...  0.00485817 -0.00839721
  0.00509311]"
79,vclaim-pol-00079,[0.00746889 0.03468534 0.06445546 ... 0.01800674 0.09912206 0.00129362]
80,vclaim-pol-00080,"[ 0.00746889 -0.05105533  0.04319798 ...  0.06291611  0.02741966
 -0.00678349]"
81,vclaim-pol-00081,[0.00746889 0.08306509 0.13472788 ... 0.02957859 0.00851116 0.01150904]
82,vclaim-pol-00082,"[ 0.00746889 -0.06817468  0.08390634 ...  0.02055328  0.02194485
  0.0024308 ]"
