,ver_claim_ids,used_words_and_synonyms
0,vclaim-pol-00000,"['schuyler', 'vanvalkenburg', 'co-sponsored', 'bill', 'would', '``', 'allowed', 'abortion', 'moment', 'birth', '.', ""''""]"
1,vclaim-pol-00001,"['``', 'last', 'two', 'years', ',', 'number', 'murders', 'america', 'america', '’', 'major', 'cities', 'dropped', ',', 'unlike', '(', 'chicago', ')', ',', '10', '%', '.', ""''""]"
2,vclaim-pol-00002,"['says', '4,250', '%', 'increase', 'fetal', 'death', 'flu', 'shot', '.']"
3,vclaim-pol-00003,"['buffalo', 'billion', '``', 'still', 'breaking', 'every', 'job', 'promise', ""''""]"
4,vclaim-pol-00004,"['say', 'sen.', 'lindsey', 'graham', 'supports', 'green', 'new', 'deal', '.']"
5,vclaim-pol-00005,"['impeachment', 'inquiry', 'hearings', '``', 'going', 'behind', 'closed', 'doors', 'congressman', 'schiff', 'presiding—they', 'consistent', 'rules', ""''"", 'u.s.', 'house', 'representatives', '.']"
6,vclaim-pol-00006,"['says', 'house', 'democrats', 'leading', 'impeachment', 'inquiry', '``', 'denying', 'president', 'trump', 'basic', 'fairness', 'due', 'process', 'accorded', 'every', 'american', '.', ""''""]"
7,vclaim-pol-00007,"['says', 'hillary', 'clinton', '``', 'paid', 'russian', 'dossier', 'win', 'election', ',', ""''"", 'husband', '``', 'made', '$', '500k', 'russian', 'speech', ',', ""''"", '``', 'sold', '20', '%', 'us', 'uranium', 'russia', ""''"", 'foundation', '``', 'received', '$', '150m', 'russia', '.', ""''""]"
8,vclaim-pol-00008,"['says', 'olive', 'garden', '``', 'funding', ""''"", 'president', 'trump', ""'s"", '2020', 're-election', 'campaign', '.']"
9,vclaim-pol-00009,"['quotes', 'trump', 'saying', ',', '``', 'fine', 'boo', 'dc', '?', 'go', '#', 'astros', ',', 'texas', 'loves', ',', 'get', 'best', 'kind', 'love', '.', '’', 'renaming', 'white', 'house', 'orange', 'house', '.', ""''""]"
10,vclaim-pol-00010,"['says', '2000', 'book', '``', 'talking', 'osama', 'bin', 'laden', '.', 'said', ',', '‘', 'kill', '.', 'take', '.', '’', ""''""]"
11,vclaim-pol-00011,"['says', '``', 'red', 'flag', 'laws', ""''"", 'allow', 'gun', 'seizure', 'without', 'judge', '’', 'involvement', ':', '``', 'take', 'away', 'first', '.', 'get', 'permission', 'judge', '.', ""''""]"
12,vclaim-pol-00012,"['says', 'illinois', ',', '``', 'fewer', '20', '%', 'actually', 'deported', 'charged', 'serious', 'crime', '.', ""''""]"
13,vclaim-pol-00013,"['says', '1770', '``', 'british', 'parliament', 'banned', 'lipstick', ',', 'saying', 'power', 'seduce', 'men', 'marriage', ',', 'classified', 'witchcraft', '.', ""''""]"
14,vclaim-pol-00014,"['says', 'ann', 'landers', 'said', ',', '``', 'age', '20', ',', 'worry', 'others', 'think', 'us', '.', 'age', '40', ',', '’', 'care', 'think', '.', 'age', '60', ',', 'discover', 'thinking', 'us', '.', ""''""]"
15,vclaim-pol-00015,"['``', 'general', 'motors', 'making', 'record', 'profits', '.', ""''""]"
16,vclaim-pol-00016,"['``', '14,000', 'abandoned', 'wind', 'turbines', 'litter', 'united', 'states', '.', ""''""]"
17,vclaim-pol-00017,"['says', 'congress', 'gave', 'wall', 'street', '``', 'trillions', 'dollars', 'zero', 'interest', 'loans', '.', ""''""]"
18,vclaim-pol-00018,"['says', 'chick-fil-a', 'funds', 'national', 'christian', 'foundation', ',', '``', 'paid', 'preacher', 'go', 'uganda', 'help', 'lawmakers', ""''"", 'bill', 'would', 'impose', 'death', 'penalty', 'homosexuality', '.']"
19,vclaim-pol-00019,"['says', 'donald', 'trump', 'said', ',', '``', 'make', 'mistake', ':', '’', '.', ';', 'guns', ',', 'christian', 'values', ',', 'freedom', '.', '’', 'way', '.', ""''""]"
20,vclaim-pol-00020,"['``', 'president', 'trump', 'asking', 'everyone', 'forward', 'email…', 'trump', 'rules', ':', 'congressional', 'reform', 'act', '2017', '.', ""''""]"
21,vclaim-pol-00021,"['says', 'impeachment', '``', 'coup', '.', ""''""]"
22,vclaim-pol-00022,"['``', 'barack', 'obama', 'put', 'permanent', 'stop', 'military', 'aid', 'ukraine', '-', 'never', 'allowed', 'go', '.', ""''""]"
23,vclaim-pol-00023,"['says', 'brooke', 'baldwin', 'said', ',', '``', '’', 'hire', 'veterans', '!', '’', 'damaged', 'trusted', 'authority', '.', ""''""]"
24,vclaim-pol-00024,"['photo', 'shows', 'man', 'grabbing', 'woman', '’', 'rear', 'watching', 'apollo', '8', 'launch', '1968', '.']"
25,vclaim-pol-00025,"['says', 'photo', 'shows', 'driver', 'passengers', 'wearing', 'moose', 'heads', 'truck', 'man', 'strapped', 'roof', 'caused', '16', 'accidents', 'i-35', '.']"
26,vclaim-pol-00026,"['says', 'list', 'prominent', 'democrats', 'concealed', '``', 'real', 'names', ""''"", 'public', '.']"
27,vclaim-pol-00027,"['barnes', '&', 'noble', 'target', 'book', '``', 'give', 'pig', 'white', 'house', ""''"", 'children', '’', 'sections', '.']"
28,vclaim-pol-00028,"['``', 'trump', 'family', 'disallowed', 'operating', 'charity', 'state', 'new', 'york', 'stole', 'kids', 'cancer', 'charity', '.', ""''""]"
29,vclaim-pol-00029,"['``', ""'m"", 'one', 'two', 'candidates', 'field', '10', '%', 'donald', 'trump', 'voters', 'say', 'would', 'support', 'general', ""''"", 'election', '.']"
30,vclaim-pol-00030,"['says', 'popular', 'food', 'drink', 'items', 'kraft', ',', 'pepsi', 'nestle', 'use', 'flavor', 'enhancement', 'company', '``', 'puts', 'aborted', 'baby', 'fetus', 'cells', 'food', 'drinks', '.', ""''""]"
31,vclaim-pol-00031,"['``', 'vast', 'majority', 'wisconsin', 'students', 'even', 'read', ',', 'write', ',', 'math', 'grade', 'level', '.', ""''""]"
32,vclaim-pol-00032,"['``', 'requests', 'records', 'possessed', 'attorney', 'general', '’', 'office', 'private', 'law', 'firms', 'companies', '.', ""''""]"
