,ver_claim_ids,named_entities
0,vclaim-pol-00000,"[['Schuyler VanValkenburg', 'not available', 'not available'], ['co-sponsored', 545607, 'Q152478'], ['abortion', 765, 'Q8452']]"
1,vclaim-pol-00001,"[['America', 3434750, 'Q30'], ['America', 3434750, 'Q30'], ['Chicago', 6886, 'Q1297'], ['10%', 'not available', 'not available']]"
2,vclaim-pol-00002,"[['4,250%', 'not available', 'not available'], ['fetal death', 226748, 'Q745832'], ['flu shot', 1045705, 'Q383260']]"
3,vclaim-pol-00003,"[['Buffalo Billion', 50058975, 'Q25349359']]"
4,vclaim-pol-00004,"[['Sen. Lindsey Graham', 363279, 'Q22212'], ['Green New Deal', 28108031, 'Q2068307']]"
5,vclaim-pol-00005,"[['closed doors', 9520265, 'Q489219'], ['Congressman', 19468510, 'Q11701'], ['Schiff', 'not available', 'not available'], ['U.S. House of Representatives', 19468510, 'Q11701']]"
6,vclaim-pol-00006,"[['House Democrats', 4568488, 'Q5255565'], ['impeachment', 1795376, 'Q1949797'], ['President Trump', 4848272, 'Q22686'], ['American', 'not available', 'not available']]"
7,vclaim-pol-00007,"[['Hillary Clinton', 5043192, 'Q6294'], ['Russian', 59510, 'Q49542'], ['$500k', 'not available', 'not available'], ['Russian speech', 52299451, 'Q4400534'], ['20%', 'not available', 'not available'], ['US', 'not available', 'not available'], ['Uranium', 31743, 'Q1098'], ['Russia', 25391, 'Q159'], ['$150M from Russia', 'not available', 'not available']]"
8,vclaim-pol-00008,"[['Olive Garden', 653200, 'Q3045312'], [""President Trump's"", 4848272, 'Q22686'], ['2020', 48410011, 'Q22923830'], ['re-election campaign', 32077, 'Q659166']]"
9,vclaim-pol-00009,"[['Trump', 'not available', 'not available'], ['DC', 'not available', 'not available'], ['Astros', 'not available', 'not available'], ['Texas', 29810, 'Q1439'], ['White House', 33057, 'Q35525'], ['Orange House', 'not available', 'not available']]"
10,vclaim-pol-00010,"[['2000', 34548, 'Q1985'], ['Osama bin Laden', 22468, 'Q1317']]"
11,vclaim-pol-00011,[]
12,vclaim-pol-00012,"[['Illinois', 14849, 'Q1204'], ['20%', 'not available', 'not available']]"
13,vclaim-pol-00013,"[['1770', 'not available', 'not available'], ['British parliament', 13964, 'Q11010'], ['lipstick', 1988889, 'Q184191'], ['witchcraft', 33959, 'Q259745']]"
14,vclaim-pol-00014,"[['Ann Landers', 23522873, 'Q4807064'], ['20', 'not available', 'not available'], ['40', 'not available', 'not available'], ['don’t', 43037173, 'Q17646620'], ['60', 'not available', 'not available']]"
15,vclaim-pol-00015,"[['General Motors', 12102, 'Q81965']]"
16,vclaim-pol-00016,"[['14,000', 'not available', 'not available'], ['wind turbines', 20541773, 'Q49833'], ['United States', 3434750, 'Q30']]"
17,vclaim-pol-00017,"[['Wall Street', 37274, 'Q11690']]"
18,vclaim-pol-00018,"[['Says Chick-fil-A', 'not available', 'not available'], ['National Christian Foundation', 44388796, 'Q20858137'], ['Uganda', 31816, 'Q1036'], ['death penalty for homosexuality', 50402549, 'Q25091704']]"
19,vclaim-pol-00019,"[['Donald Trump', 4848272, 'Q22686'], ['Christian values', 2528090, 'Q1084103']]"
20,vclaim-pol-00020,"[['President Trump', 4848272, 'Q22686'], ['Reform Act of 2017', 'not available', 'not available']]"
21,vclaim-pol-00021,[]
22,vclaim-pol-00022,"[['Barack Obama', 534366, 'Q76'], ['Ukraine', 31750, 'Q212']]"
23,vclaim-pol-00023,"[['Brooke Baldwin', 31810774, 'Q4974402'], ['Don’t', 43037173, 'Q17646620']]"
24,vclaim-pol-00024,"[['Apollo 8', 663, 'Q184201'], ['1968', 34655, 'Q2644']]"
25,vclaim-pol-00025,"[['16', 'not available', 'not available'], ['35', 'not available', 'not available']]"
26,vclaim-pol-00026,"[['Democrats', 'not available', 'not available']]"
27,vclaim-pol-00027,"[['Barnes & Noble', 191875, 'Q795454'], ['If You Give a Pig the White House', 'not available', 'not available'], ['children’s', 52847, 'Q131539']]"
28,vclaim-pol-00028,"[['Trump family', 6808851, 'Q3999864'], ['State of New York', 8210131, 'Q1384'], ['cancer', 105219, 'Q12078']]"
29,vclaim-pol-00029,"[['10%', 'not available', 'not available'], ['Donald Trump', 4848272, 'Q22686']]"
30,vclaim-pol-00030,"[['food and drink', 2437974, 'Q540912'], ['Kraft', 518715, 'Q327751'], ['Pepsi', 24573, 'Q47719'], ['Nestle', 160227, 'Q160746'], ['fetus', 20130936, 'Q26513']]"
31,vclaim-pol-00031,"[['Wisconsin', 33127, 'Q1537'], ['read, write', 18456, 'Q8236']]"
32,vclaim-pol-00032,"[['Attorney General', 433111, 'Q2631987'], ['private law', 220103, 'Q4122235']]"
33,vclaim-pol-00033,"[['Trump', 'not available', 'not available'], ['CNN', 62028, 'Q48340']]"
34,vclaim-pol-00034,"[['President Trump', 4848272, 'Q22686'], ['14,000', 'not available', 'not available'], ['American troops', 32212, 'Q11211'], ['Middle East', 19323, 'Q7204'], ['May', 'not available', 'not available'], ['political rallies', 6787314, 'Q175331'], ['14', 'not available', 'not available']]"
35,vclaim-pol-00035,"[['AARP', 402072, 'Q463410'], ['federal funding', 7115982, 'Q4683443'], ['Planned Parenthood', 503193, 'Q2553262']]"
36,vclaim-pol-00036,"[['Hemp', 963313, 'Q7150699'], ['25,000', 'not available', 'not available'], ['35,000', 'not available', 'not available'], ['plastics', 26145195, 'Q11474'], ['styrofoam', 201308, 'Q1194725'], ['concrete', 5371, 'Q22657']]"
37,vclaim-pol-00037,"[['Sheila Bynum', 'not available', 'not available'], ['Coleman', 'not available', 'not available']]"
38,vclaim-pol-00038,"[['6', 'not available', 'not available'], ['tonic water', 99809, 'Q237315'], ['restless legs syndrome', 240832, 'Q916280']]"
39,vclaim-pol-00039,"[['Kurdish', 17068, 'Q12223'], ['Turkey', 11125639, 'Q43']]"
40,vclaim-pol-00040,[]
41,vclaim-pol-00041,"[['Says California', 'not available', 'not available'], ['30%', 'not available', 'not available'], ['country’s', 17416221, 'Q258']]"
42,vclaim-pol-00042,"[['Donald Trump', 4848272, 'Q22686'], ['G-7', 59755, 'Q37143'], ['Trump', 4848272, 'Q22686'], ['Doral resort', 10794268, 'Q4587533']]"
43,vclaim-pol-00043,"[['commander in chief', 254428, 'Q380782'], ['international business', 3172176, 'Q3681519']]"
44,vclaim-pol-00044,"[['Donald Trump', 4848272, 'Q22686'], ['campaign pledge', 719497, 'Q2084839'], ['manufacturing jobs', 246816, 'Q1191714'], ['Wisconsin', 33127, 'Q1537'], ['Pennsylvania', 23332, 'Q1400'], ['manufacturing jobs', 246816, 'Q1191714']]"
45,vclaim-pol-00045,"[['75', 'not available', 'not available'], ['100', 'not available', 'not available'], ['200', 'not available', 'not available'], ['gun violence', 7862242, 'Q5618454']]"
46,vclaim-pol-00046,"[['The City of Austin', 'not available', 'not available'], ['$20,000', 'not available', 'not available'], ['HOMELESS PERSON', 19394651, 'Q131327'], ['Austin', 1998, 'Q16559']]"
47,vclaim-pol-00047,"[['$50,000', 'not available', 'not available'], ['don’t', 43037173, 'Q17646620'], ['income tax', 50845, 'Q179222'], ['1 percent', 'not available', 'not available'], ['40%', 'not available', 'not available']]"
48,vclaim-pol-00048,"[['Kurds', 17068, 'Q12223']]"
49,vclaim-pol-00049,"[['90 percent', 'not available', 'not available'], ['Americans', 'not available', 'not available'], ['40', 'not available', 'not available']]"
50,vclaim-pol-00050,"[['flu shot', 1045705, 'Q383260'], ['virus', 19167679, 'Q808']]"
51,vclaim-pol-00051,"[['universal basic income', 28310828, 'Q678522'], ['Thomas Paine', 30795, 'Q126462'], ['Martin Luther King', 20076, 'Q8027'], ['60s', 'not available', 'not available'], ['guaranteed minimum income', 457460, 'Q2334593'], ['U.S. House of Representatives', 19468510, 'Q11701'], ['1971', 'not available', 'not available']]"
52,vclaim-pol-00052,"[['President John F. Kennedy', 5119376, 'Q9696'], ['United States', 3434750, 'Q30'], ['CIA', 5183633, 'Q37230'], ['Pentagon', 'not available', 'not available']]"
53,vclaim-pol-00053,"[['25,000', 'not available', 'not available'], ['POTUS', 24113, 'Q11696']]"
54,vclaim-pol-00054,"[['1%', 'not available', 'not available']]"
55,vclaim-pol-00055,"[['Ohio', 22199, 'Q1397'], ['Michigan', 18859, 'Q1166'], ['Pennsylvania', 23332, 'Q1400']]"
56,vclaim-pol-00056,"[['$50,000', 'not available', 'not available'], ['$75,000', 'not available', 'not available'], ['$5,000', 'not available', 'not available'], ['Medicare', 58353, 'Q559392']]"
57,vclaim-pol-00057,"[['bankruptcy', 4695, 'Q152074'], ['health insurance', 490201, 'Q334911']]"
58,vclaim-pol-00058,"[['Americans', 'not available', 'not available'], ['single-payer', 1043143, 'Q1021512'], ['Medicare', 58353, 'Q559392'], ['private insurance', 15176, 'Q43183']]"
59,vclaim-pol-00059,"[['If Trump', 'not available', 'not available'], ['TV ad', 180557, 'Q854995'], ['Facebook', 7529378, 'Q355'], ['Trump', 4848272, 'Q22686']]"
60,vclaim-pol-00060,"[['Gov.', 56231, 'Q132050'], ['Ralph Northam', 14126466, 'Q7287916']]"
61,vclaim-pol-00061,"[['William Barr', 8860710, 'Q8005104'], ['tweeted', 9988187, 'Q918'], ['US', 'not available', 'not available'], ['Iran', 14653, 'Q794'], ['Iran', 14653, 'Q794'], ['uranium', 31743, 'Q1098'], ['Russia', 25391, 'Q159']]"
62,vclaim-pol-00062,"[['Says Fox News', 'not available', 'not available'], ['Shepard Smith', 290176, 'Q1654116'], ['Attorney General', 44002, 'Q636207'], ['William Barr', 8860285, 'Q723917'], ['closed door', 511459, 'Q321568'], ['Rupert Murdoch', 26091, 'Q53944']]"
63,vclaim-pol-00063,"[['mayor of Newark', 4288728, 'Q16147012'], ['N.J.', 21648, 'Q1408'], ['Cory Booker', 2130120, 'Q1135767'], ['$600,000', 'not available', 'not available'], ['laundered', 19390, 'Q151900'], ['law firm', 894300, 'Q613142']]"
64,vclaim-pol-00064,"[['Associated Press', 18935732, 'Q40469'], ['Income Inequality', 11932504, 'Q950001'], ['50', 'not available', 'not available'], ['Census report', 447689, 'Q1345528'], ['measures of income inequality', 537539, 'Q6158427']]"
65,vclaim-pol-00065,"[['George Soros', 6951166, 'Q12908'], ['Adam Schiff', 408932, 'Q350843']]"
66,vclaim-pol-00066,"[['West Virginia Department of Education', 24820112, 'Q7986841'], ['10,000', 'not available', 'not available'], ['homeless', 19394651, 'Q131327'], ['2018-2019', 'not available', 'not available']]"
67,vclaim-pol-00067,"[['Facebook', 7529378, 'Q355']]"
68,vclaim-pol-00068,"[['Nancy Pelosi', 147301, 'Q170581'], ['$2.4 billion', 'not available', 'not available'], ['Social Security', 48728, 'Q13479957'], ['impeachment', 1795376, 'Q1949797']]"
69,vclaim-pol-00069,[]
70,vclaim-pol-00070,"[['Obamas', 17775180, 'Q643049'], ['Varsity Blues', 1693395, 'Q549889']]"
71,vclaim-pol-00071,"[['Joe Biden', 145422, 'Q6279'], ['Ukraine', 31750, 'Q212'], ['prosecutor', 440936, 'Q600751'], ['prosecutor', 440936, 'Q600751'], ['corruption probe', 41444822, 'Q15410442'], ['Hunter Biden', 19026387, 'Q5944264'], ['impeach', 1795376, 'Q1949797'], ['President Trump', 4848272, 'Q22686'], ['Ukraine', 31750, 'Q212']]"
72,vclaim-pol-00072,"[['food stamps', 659087, 'Q556318'], ['Donald Trump', 4848272, 'Q22686']]"
73,vclaim-pol-00073,"[['Chicago Public Schools', 1488123, 'Q2963340']]"
74,vclaim-pol-00074,"[['95 percent', 'not available', 'not available'], ['America', 3434750, 'Q30'], ['ethylene', 9837, 'Q151313'], ['Gulf Coast', 11969, 'Q55241'], ['Texas', 29810, 'Q1439'], ['Louisiana', 18130, 'Q1588']]"
75,vclaim-pol-00075,"[['Nancy Pelosi', 147301, 'Q170581'], ['Mitt Romney', 426208, 'Q4496'], ['John Kerry', 5122699, 'Q22316'], ['energy companies', 533487, 'Q25584060'], ['Ukraine', 31750, 'Q212']]"
76,vclaim-pol-00076,"[['Republican', 32070, 'Q29468'], ['Dan Bishop', 46861208, 'Q20090301'], ['17', 'not available', 'not available'], ['NC', 'not available', 'not available']]"
77,vclaim-pol-00077,"[['Meth', 11038318, 'Q191924'], ['MO', 'not available', 'not available'], ['MO Hwy', 'not available', 'not available'], ['1,326', 'not available', 'not available'], ['meth lab', 610329, 'Q5125767'], ['seizures', 27154, 'Q6279182'], ['2006', 'not available', 'not available'], ['50', 'not available', 'not available'], ['2018', 'not available', 'not available']]"
78,vclaim-pol-00078,"[['Nancy Pelosi', 147301, 'Q170581'], ['Ukraine', 31750, 'Q212'], ['Ukrainian Embassy', 18048956, 'Q4374079'], ['Ukrainian military', 42799055, 'Q936105'], ['Ukrainian government', 1372585, 'Q613729'], ['Ukrainian', 145144, 'Q44806']]"
79,vclaim-pol-00079,"[['so-called', 21168456, 'Q16868804'], ['Whistleblower', 33821, 'Q26102']]"
80,vclaim-pol-00080,"[['Republican', 32070, 'Q29468'], ['10', 'not available', 'not available'], ['President Obama', 534366, 'Q76']]"
81,vclaim-pol-00081,"[['Del. Danica Roem', 'not available', 'not available']]"
82,vclaim-pol-00082,"[['West Virginia', 32905, 'Q1371'], ['$70,000', 'not available', 'not available'], ['Green New Deal', 28108031, 'Q2068307']]"
83,vclaim-pol-00083,"[['Joe Biden', 145422, 'Q6279'], ['Ukrainian', 31750, 'Q212'], ['playing golf', 19568112, 'Q5377'], ['Hunter"" Biden', 'not available', 'not available']]"
84,vclaim-pol-00084,"[['Minneapolis', 6097240, 'Q36091'], ['Target Center', 237003, 'Q282675'], ['$530,000', 'not available', 'not available'], ['26', 'not available', 'not available'], ['2009', 'not available', 'not available'], ['Target Center', 237003, 'Q282675'], ['President', 'not available', 'not available'], ['Barack Obama', 534366, 'Q76']]"
85,vclaim-pol-00085,"[['Del. Debra Rodman', 'not available', 'not available'], ['abortion', 765, 'Q8452'], ['unplanned pregnancies', 21071926, 'Q3817591']]"
86,vclaim-pol-00086,"[['whistleblower', 33821, 'Q26102']]"
87,vclaim-pol-00087,"[['Rep. Adam Schiff', 408932, 'Q350843'], ['WHISTLEBLOWER', 33821, 'Q26102']]"
88,vclaim-pol-00088,"[['Monica Lewinsky', 19948, 'Q212659'], ['tweeted', 9988187, 'Q918'], ['oral sex', 2480306, 'Q2122'], ['President Donald Trump', 4848272, 'Q22686'], ['Republicans', 32070, 'Q29468'], ['impeach', 1795376, 'Q1949797']]"
89,vclaim-pol-00089,"[['50%', 'not available', 'not available'], ['DUIs', 511428, 'Q250062'], ['Interstate 35', 89535, 'Q94150'], ['Ninety percent', 'not available', 'not available'], ['50%', 'not available', 'not available']]"
90,vclaim-pol-00090,"[['90%', 'not available', 'not available']]"
91,vclaim-pol-00091,"[['Universal background checks', 43159487, 'Q22909558'], ['federal official', 195149, 'Q48525'], ['Second Amendment', 31655, 'Q210645']]"
92,vclaim-pol-00092,"[['Thomas Jefferson', 29922, 'Q11812']]"
