,ver_claim_ids,used_words_and_synonyms
0,vclaim-pol-00000,18
1,vclaim-pol-00001,35
2,vclaim-pol-00002,15
3,vclaim-pol-00003,11
4,vclaim-pol-00004,10
5,vclaim-pol-00005,29
6,vclaim-pol-00006,22
7,vclaim-pol-00007,48
8,vclaim-pol-00008,15
9,vclaim-pol-00009,42
10,vclaim-pol-00010,33
11,vclaim-pol-00011,37
12,vclaim-pol-00012,23
13,vclaim-pol-00013,28
14,vclaim-pol-00014,50
15,vclaim-pol-00015,9
16,vclaim-pol-00016,11
17,vclaim-pol-00017,15
18,vclaim-pol-00018,34
19,vclaim-pol-00019,41
20,vclaim-pol-00020,21
21,vclaim-pol-00021,9
22,vclaim-pol-00022,23
23,vclaim-pol-00023,24
24,vclaim-pol-00024,20
25,vclaim-pol-00025,28
26,vclaim-pol-00026,17
27,vclaim-pol-00027,25
28,vclaim-pol-00028,26
29,vclaim-pol-00029,30
30,vclaim-pol-00030,32
31,vclaim-pol-00031,22
32,vclaim-pol-00032,24
33,vclaim-pol-00033,21
34,vclaim-pol-00034,49
35,vclaim-pol-00035,10
36,vclaim-pol-00036,26
37,vclaim-pol-00037,19
38,vclaim-pol-00038,21
39,vclaim-pol-00039,14
40,vclaim-pol-00040,18
41,vclaim-pol-00041,24
42,vclaim-pol-00042,24
43,vclaim-pol-00043,21
44,vclaim-pol-00044,34
45,vclaim-pol-00045,19
46,vclaim-pol-00046,18
47,vclaim-pol-00047,26
48,vclaim-pol-00048,10
49,vclaim-pol-00049,22
50,vclaim-pol-00050,22
51,vclaim-pol-00051,47
52,vclaim-pol-00052,34
53,vclaim-pol-00053,15
54,vclaim-pol-00054,14
55,vclaim-pol-00055,22
56,vclaim-pol-00056,39
57,vclaim-pol-00057,28
58,vclaim-pol-00058,24
59,vclaim-pol-00059,29
60,vclaim-pol-00060,9
61,vclaim-pol-00061,24
62,vclaim-pol-00062,24
63,vclaim-pol-00063,27
64,vclaim-pol-00064,42
65,vclaim-pol-00065,15
66,vclaim-pol-00066,24
67,vclaim-pol-00067,10
68,vclaim-pol-00068,17
69,vclaim-pol-00069,20
70,vclaim-pol-00070,13
71,vclaim-pol-00071,50
72,vclaim-pol-00072,23
73,vclaim-pol-00073,22
74,vclaim-pol-00074,23
75,vclaim-pol-00075,27
76,vclaim-pol-00076,24
77,vclaim-pol-00077,28
78,vclaim-pol-00078,33
79,vclaim-pol-00079,19
80,vclaim-pol-00080,24
81,vclaim-pol-00081,21
82,vclaim-pol-00082,31
83,vclaim-pol-00083,33
84,vclaim-pol-00084,53
85,vclaim-pol-00085,19
86,vclaim-pol-00086,11
87,vclaim-pol-00087,22
88,vclaim-pol-00088,42
89,vclaim-pol-00089,25
90,vclaim-pol-00090,17
91,vclaim-pol-00091,30
92,vclaim-pol-00092,20
93,vclaim-pol-00093,13
94,vclaim-pol-00094,15
95,vclaim-pol-00095,38
96,vclaim-pol-00096,6
97,vclaim-pol-00097,16
98,vclaim-pol-00098,31
99,vclaim-pol-00099,28
100,vclaim-pol-00100,18
101,vclaim-pol-00101,22
102,vclaim-pol-00102,23
103,vclaim-pol-00103,19
104,vclaim-pol-00104,14
105,vclaim-pol-00105,54
106,vclaim-pol-00106,15
107,vclaim-pol-00107,6
108,vclaim-pol-00108,23
109,vclaim-pol-00109,18
110,vclaim-pol-00110,23
111,vclaim-pol-00111,15
112,vclaim-pol-00112,15
113,vclaim-pol-00113,15
114,vclaim-pol-00114,51
115,vclaim-pol-00115,21
116,vclaim-pol-00116,27
117,vclaim-pol-00117,17
118,vclaim-pol-00118,27
119,vclaim-pol-00119,11
120,vclaim-pol-00120,16
121,vclaim-pol-00121,22
122,vclaim-pol-00122,29
123,vclaim-pol-00123,18
124,vclaim-pol-00124,21
125,vclaim-pol-00125,21
126,vclaim-pol-00126,24
127,vclaim-pol-00127,19
128,vclaim-pol-00128,25
129,vclaim-pol-00129,24
130,vclaim-pol-00130,38
131,vclaim-pol-00131,13
132,vclaim-pol-00132,16
133,vclaim-pol-00133,22
134,vclaim-pol-00134,12
135,vclaim-pol-00135,13
136,vclaim-pol-00136,28
137,vclaim-pol-00137,30
138,vclaim-pol-00138,71
139,vclaim-pol-00139,18
140,vclaim-pol-00140,26
141,vclaim-pol-00141,50
142,vclaim-pol-00142,16
143,vclaim-pol-00143,29
144,vclaim-pol-00144,22
145,vclaim-pol-00145,12
146,vclaim-pol-00146,18
147,vclaim-pol-00147,16
148,vclaim-pol-00148,14
149,vclaim-pol-00149,16
150,vclaim-pol-00150,24
151,vclaim-pol-00151,22
152,vclaim-pol-00152,33
153,vclaim-pol-00153,12
154,vclaim-pol-00154,20
155,vclaim-pol-00155,14
156,vclaim-pol-00156,56
157,vclaim-pol-00157,23
158,vclaim-pol-00158,56
159,vclaim-pol-00159,23
160,vclaim-pol-00160,10
161,vclaim-pol-00161,13
162,vclaim-pol-00162,13
163,vclaim-pol-00163,22
164,vclaim-pol-00164,41
165,vclaim-pol-00165,14
166,vclaim-pol-00166,31
167,vclaim-pol-00167,68
168,vclaim-pol-00168,22
169,vclaim-pol-00169,25
170,vclaim-pol-00170,47
171,vclaim-pol-00171,16
172,vclaim-pol-00172,13
173,vclaim-pol-00173,13
174,vclaim-pol-00174,31
175,vclaim-pol-00175,18
176,vclaim-pol-00176,33
177,vclaim-pol-00177,32
178,vclaim-pol-00178,11
179,vclaim-pol-00179,18
180,vclaim-pol-00180,37
181,vclaim-pol-00181,19
182,vclaim-pol-00182,39
183,vclaim-pol-00183,9
184,vclaim-pol-00184,20
185,vclaim-pol-00185,12
186,vclaim-pol-00186,30
187,vclaim-pol-00187,14
188,vclaim-pol-00188,22
189,vclaim-pol-00189,12
190,vclaim-pol-00190,31
191,vclaim-pol-00191,23
192,vclaim-pol-00192,13
193,vclaim-pol-00193,15
194,vclaim-pol-00194,65
195,vclaim-pol-00195,19
196,vclaim-pol-00196,12
197,vclaim-pol-00197,25
198,vclaim-pol-00198,29
199,vclaim-pol-00199,31
200,vclaim-pol-00200,10
201,vclaim-pol-00201,38
202,vclaim-pol-00202,28
203,vclaim-pol-00203,18
204,vclaim-pol-00204,28
205,vclaim-pol-00205,25
206,vclaim-pol-00206,16
207,vclaim-pol-00207,20
208,vclaim-pol-00208,15
209,vclaim-pol-00209,14
210,vclaim-pol-00210,14
211,vclaim-pol-00211,30
212,vclaim-pol-00212,28
213,vclaim-pol-00213,18
214,vclaim-pol-00214,18
215,vclaim-pol-00215,43
216,vclaim-pol-00216,13
217,vclaim-pol-00217,25
218,vclaim-pol-00218,43
219,vclaim-pol-00219,22
220,vclaim-pol-00220,22
221,vclaim-pol-00221,19
222,vclaim-pol-00222,33
223,vclaim-pol-00223,25
224,vclaim-pol-00224,31
225,vclaim-pol-00225,19
226,vclaim-pol-00226,16
227,vclaim-pol-00227,23
228,vclaim-pol-00228,17
229,vclaim-pol-00229,33
230,vclaim-pol-00230,13
231,vclaim-pol-00231,14
232,vclaim-pol-00232,15
233,vclaim-pol-00233,37
234,vclaim-pol-00234,25
235,vclaim-pol-00235,17
236,vclaim-pol-00236,18
237,vclaim-pol-00237,18
