,ver_claim_ids,ver_claim_encodings
0,vclaim-pol-00000,"[ 0.03446893  0.05554535  0.00105821 ... -0.01410271  0.00806192
 -0.00190522]"
1,vclaim-pol-00001,"[ 0.02373812  0.01971372 -0.04369261 ...  0.05818089 -0.00946914
  0.0425492 ]"
2,vclaim-pol-00002,"[ 0.03334343  0.05793606  0.01577791 ... -0.01886278  0.02472279
  0.0432874 ]"
3,vclaim-pol-00003,"[ 0.04077024 -0.00588004 -0.04087451 ... -0.01169657 -0.03905714
 -0.02509085]"
4,vclaim-pol-00004,"[ 0.00762774 -0.03812405 -0.03419675 ... -0.01117589 -0.02986388
  0.04454637]"
5,vclaim-pol-00005,"[-0.01627101  0.01628419 -0.03130276 ...  0.00974117  0.01050792
 -0.03557362]"
6,vclaim-pol-00006,"[-0.02956035  0.006041    0.01930956 ...  0.02215609  0.00674019
 -0.04964354]"
7,vclaim-pol-00007,"[-0.01657362  0.00488294 -0.05315995 ... -0.02900738 -0.02752055
  0.01101804]"
8,vclaim-pol-00008,"[-0.02460009 -0.03469333  0.01097273 ...  0.00078168 -0.00719983
 -0.01047514]"
9,vclaim-pol-00009,"[ 0.01309752 -0.01051769 -0.0163117  ...  0.00358585  0.02593257
 -0.01244938]"
10,vclaim-pol-00010,"[ 0.02341712 -0.02940414  0.02720403 ...  0.03927796 -0.02843865
  0.01268158]"
11,vclaim-pol-00011,"[-0.0227535   0.00911712 -0.02603044 ... -0.01979982  0.03894547
 -0.00085282]"
12,vclaim-pol-00012,"[-0.02035436  0.00155372 -0.04537397 ...  0.04700293 -0.00950324
 -0.00634624]"
13,vclaim-pol-00013,"[ 0.00828834 -0.03485793  0.02605444 ... -0.00892799  0.02908397
 -0.03550634]"
14,vclaim-pol-00014,"[-0.00994581  0.01864443 -0.02849991 ... -0.01733296 -0.01523049
 -0.00771752]"
15,vclaim-pol-00015,"[ 0.04864114  0.03299316 -0.00930468 ...  0.00862275  0.00902876
 -0.01617324]"
16,vclaim-pol-00016,"[-0.0208545  -0.01481406 -0.02853303 ...  0.04431223 -0.0216069
 -0.01857344]"
17,vclaim-pol-00017,"[-0.01244348  0.0007938  -0.04161636 ... -0.02628949 -0.04672667
  0.02813928]"
18,vclaim-pol-00018,"[ 0.03876695 -0.02975711 -0.01375161 ... -0.02092259  0.00996927
 -0.00221083]"
19,vclaim-pol-00019,"[ 0.01541029  0.00439932 -0.00468592 ...  0.01678734  0.0365964
  0.00980878]"
20,vclaim-pol-00020,"[-0.04077187 -0.0429289   0.01056699 ... -0.02206564 -0.01398475
  0.02891802]"
21,vclaim-pol-00021,"[-0.00781163  0.0182401  -0.03062156 ...  0.02221849  0.02429249
 -0.05998583]"
22,vclaim-pol-00022,"[ 0.0307687  -0.00266036 -0.00568814 ... -0.016446   -0.02698918
 -0.04105243]"
23,vclaim-pol-00023,"[ 0.03604044  0.01913564  0.03220229 ...  0.02662163  0.03500522
 -0.0164404 ]"
24,vclaim-pol-00024,"[-0.00296058 -0.04263104  0.00582696 ... -0.00820431 -0.00770297
 -0.02322377]"
25,vclaim-pol-00025,"[-0.03010637 -0.05967445  0.05067327 ...  0.02911793 -0.01658764
  0.01867858]"
26,vclaim-pol-00026,"[-0.02409613 -0.0198525  -0.03036404 ... -0.00665098  0.01119334
 -0.02953909]"
27,vclaim-pol-00027,"[ 0.03497218 -0.02783938  0.01530869 ...  0.01004176  0.00718473
  0.00044664]"
28,vclaim-pol-00028,"[-0.00290203  0.02923135 -0.02870183 ... -0.01276663  0.02173777
 -0.04203533]"
29,vclaim-pol-00029,[0.00448123 0.02727237 0.03937519 ... 0.03442999 0.01610128 0.01322989]
