0001	Brian Kilmeade	We are joined right now.
0002	Brian Kilmeade	It is our great pleasure to welcome the president, United States, Donald Trump, calling in.
0003	Brian Kilmeade	Mr. Trump, good morning to you.
0004	Donald Trump	Good morning.
0005	Brian Kilmeade	Good to have you on Fox and Friends today.
0006	Brian Kilmeade	[Laughs] As you said in your tweet, another slow news week.
0007	Brian Kilmeade	Let's start with the fact that -- the story that Griff just brought us, that it sounds like a former FBI lawyer -- it sounds like -- was doing something with the FISA application.
0008	Brian Kilmeade	That person got removed.
0009	Brian Kilmeade	And this goes to your argument that somebody at the FBI was out to get you, right?
0010	Donald Trump	Well, it certainly does.
0011	Donald Trump	And they were spying on my campaign and it went right up to the top.
0012	Donald Trump	And everybody knows it.
0013	Donald Trump	And now we're going to find out.
0014	Donald Trump	You have Bull Durham, who's supposed to be the toughest.
0015	Donald Trump	I've never met him.
0016	Donald Trump	Never spoke to him.
0017	Donald Trump	But he's supposed to be the smartest and th­­e best.
0018	Donald Trump	And he works for Bill Barr, who is a great attorney general.
0019	Donald Trump	We would have maybe invented this thing a lot sooner had he been there originally.
0020	Donald Trump	But you have some people that are great people, now, and -- patriotic people.
0021	Donald Trump	They love our country.
0022	Donald Trump	This was spying on my campaign, something that has never been done in the history of our country.
0023	Donald Trump	This was an overthrow attempt at the presidency.
0024	Donald Trump	They tried to overthrow the presidency.
0025	Donald Trump	This is a disgrace.
0026	Donald Trump	But what -- I'm not surprised to see; it's just starting to come out.
0027	Donald Trump	I think this is nothing compared that what you'll see over the next couple of weeks.
0028	Ainsley Earhardt	These media --
0029	Donald Trump	These people are sick.
0030	Ainsley Earhardt	These media outlets are saying that the FBI lawyer manipulated and altered key documents related to that warrant application so that they could get permission to surveil Carter Page.
0031	Ainsley Earhardt	He was on with Maria -- Mornings with Maria -- a few minutes ago, and he says it's a cover up.
0032	Ainsley Earhardt	Listen.
0033	Carter Page	[Begin Video Clip] They have just been putting false information out there to the media, the Democrats and their allies in -- they're Washington -- in the media, constantly pushing lies after lies.
0034	Carter Page	And then finally, this gets picked up by a court.
0035	Carter Page	It gets picked up by the Comey-McCabe-FBI.
0036	Carter Page	And they got a warrant, a fraudulent warrant, I believe, to spy on myself as a way of getting into the Trump campaign.
0037	Maria Bartiromo	So, you --
0038	Carter Page	There has been a continued cover up to this very day.
0039	Carter Page	We still don't have the truth, but hopefully we'll get that soon.
0040	Carter Page	[End Video Clip]
0041	Ainsley Earhardt	How does this compare with what happened with that Ukraine conversation?
0042	Ainsley Earhardt	Democrats want to impeach you because of that conversation, but this looks pretty bad.
0043	Donald Trump	So my conversation was a perfect conversation.
0044	Donald Trump	The Ukrainian president said, "What are they talking about?"
0045	Donald Trump	There must think we're nuts in this country.
0046	Donald Trump	And this conversation was flawless.
0047	Donald Trump	It was appropriate.
0048	Donald Trump	It was perfect.
0049	Donald Trump	It was nice.
0050	Donald Trump	It was everything.
0051	Donald Trump	And they even said that.
0052	Donald Trump	They came out and said it.
0053	Donald Trump	Now, compare that -- as they try to impeach, and by the way, they've looked like fools over the last five days, as these interviews were -- these were their witnesses.
0054	Donald Trump	This was the best they've got.
0055	Donald Trump	Adam Schiff is a sick puppy.
0056	Donald Trump	He is a -- it's pretty incredible.
0057	Donald Trump	Now, what you're going to see, I predict, will be perhaps the biggest scandal in the history of our country, political scandal.
0058	Donald Trump	But I guess that's the biggest, because what's more important than a political --?
0059	Steve Doocy	What are you talking -- what do you mean by that?
0060	Steve Doocy	What you mean by that?
0061	Donald Trump	I think you're going to see things that are going to be incredible, if it's done right.
0062	Donald Trump	And I purposely stay out.
0063	Donald Trump	I tell Bill Barr to handle everything.
0064	Donald Trump	I wouldn't have to, I could get very much involved, but I purposely don't.
0065	Donald Trump	And I haven't.
0066	Donald Trump	And you know what?
0067	Donald Trump	It's better that way, I guess.
0068	Donald Trump	I don't have any obligation, legally, to do that, but I've let them handle it.
0069	Donald Trump	So you have a FISA report coming out, which the word is it's "historic."
0070	Donald Trump	That's what the word is.
0071	Donald Trump	That's what I hear.
0072	Donald Trump	And if it's historic, you're going to see something.
0073	Donald Trump	Then perhaps even more importantly, you have Durham coming out shortly thereafter.
0074	Donald Trump	He's the U.S. attorney, and he's already announced it's criminal.
0075	Donald Trump	And we'll see what happens.
0076	Donald Trump	But --
0077	Brian Kilmeade	Mr. President.
0078	Donald Trump	I'll tell you what.
0079	Donald Trump	You have a lot of very, very bad people.
0080	Donald Trump	And, you know, a lot of people say, "deep state."
0081	Donald Trump	I don't like to use the word "deep state."
0082	Donald Trump	So I just say they're really bad and sick people.
0083	Brian Kilmeade	Mr. President, you say it could be historic.
0084	Brian Kilmeade	You have suggested in the past that this might go much higher than the Department of Justice, or the FBI during the Obama's administration.
0085	Brian Kilmeade	Are you suggesting it could actually go up into the West Wing of the Obama --?
0086	Donald Trump	You're dealing at the highest levels of government.
0087	Donald Trump	They were spying on my campaign.
0088	Donald Trump	This is my opinion.
0089	Donald Trump	I said it a long time ago.
0090	Donald Trump	Remember when I put out a tweet and I talked about the "wiretapping" in quotes, meaning modern day version of whatever wiretapping may be.
0091	Donald Trump	And all hell broke loose.
0092	Brian Kilmeade	Well, how high did it go, Mr. President.
0093	Brian Kilmeade	How high did it go?
0094	Brian Kilmeade	Your idea?
0095	Donald Trump	Personally, I think it goes all the way.
0096	Donald Trump	Okay?
0097	Donald Trump	Because I think it's impossible --
0098	Brian Kilmeade	To Barack Obama?
0099	Brian Kilmeade	-- for Brennan and for Clapper and for all of these losers that you had over there.
0100	Brian Kilmeade	I think it's impossible for them to be doing things.
0101	Brian Kilmeade	And let's see what it all says.
0102	Brian Kilmeade	But it's impossible -- Susan Rice, the person that worked at the United Nations who went after FISA reports and went after reports like she ate them for lunch.
0103	Donald Trump	And, you know, you look at the previous administration that -- they went after like a few.
0104	Donald Trump	And she was getting them by -- at a level nobody's ever even imagined before, and it had nothing to do with her.
0105	Donald Trump	Now, I think this goes to the highest level.
0106	Donald Trump	I hate to say it.
0107	Donald Trump	I think it's a disgrace.
0108	Donald Trump	They thought I was going to win, and they said, "How could we stop him?"
0109	Donald Trump	They wrote up the phony fake dossier, the disgusting fake dossier, and they tried to have it put out prior to the election.
0110	Donald Trump	And just to show how incompetent they were, they spent millions and millions of dollars.
0111	Donald Trump	Hillary Clinton paid for it and the Democrats, a lot of it had to do, they say, with Ukraine.
0112	Brian Kilmeade	But Mr. President --
0113	Donald Trump	It's very interesting.
0114	Donald Trump	It's very interesting.
0115	Donald Trump	They have this server right, from the DNC Democratic National Committee.
0116	Brian Kilmeade	Who has the server?
0117	Donald Trump	The FBI went in and they told him, "Get out of here.
0118	Donald Trump	You're not getting it.
0119	Donald Trump	We're not giving it to you."
0120	Donald Trump	They gave the server to Crowd Strike or whatever it's called, which is a company owned by a very wealthy Ukrainian.
0121	Donald Trump	And I still want to see that server.
0122	Donald Trump	You know, the FBI has never gotten that server.
0123	Donald Trump	That's a big part of this whole thing.
0124	Donald Trump	Why did they give it to a Ukrainian company?
0125	Steve Doocy	Are you or they did that?
0126	Steve Doocy	Are you sure they gave it to Ukraine?
0127	Donald Trump	Well, that's what the word is.
0128	Donald Trump	And that's what I asked actually in my phone call, you know.
0129	Donald Trump	I mean, I asked that very point blank because we're looking for corruption.
0130	Donald Trump	There's tremendous corruption we're looking for.
0131	Donald Trump	Why should we be giving hundreds of millions of dollars to countries where there's this kind of corruption?
0132	Donald Trump	Right.
0133	Donald Trump	If you look at my call, I said, you know, corruption -- I think he said it to me.
0134	Donald Trump	He's looking.
0135	Donald Trump	He got elected on the basis of corruption.
0136	Donald Trump	And I also, by the way, going back to that, why isn't Germany putting up money?
0137	Donald Trump	Why isn't France putting up money?
0138	Donald Trump	Why isn't all of the European nations -- why are they putting up?
0139	Donald Trump	You have the European Union and they're benefited in a lot more by --
0140	Brian Kilmeade	Well, yeah.
0141	Donald Trump	-- paying than we are.
0142	Donald Trump	Well, Mr. President, can I ask you --
0143	Donald Trump	It's like a massive wall?
0144	Donald Trump	Yes.
0145	Donald Trump	Why aren't they putting up money?
0146	Donald Trump	How come it's always the United States that puts up money, the suckers?
0147	Donald Trump	Why is it always the United States?
0148	Donald Trump	And these are the questions I ask and continue to ask him.
0149	Brian Kilmeade	True.
0150	Brian Kilmeade	Mr. President the best you can.
0151	Brian Kilmeade	I know you've said that from day one about wiretapping.
