,tweet_ids,tweet_encodings
0,20121023_third_presidential_debate_0959,"[ 0.02502613  0.03652735  0.00770688 ...  0.04390252  0.00062101
 -0.01239298]"
1,20121023_third_presidential_debate_0985,"[ 0.01715451  0.03824264 -0.04467492 ...  0.01276143 -0.01121997
 -0.01617477]"
2,20121023_third_presidential_debate_0753,"[ 0.0329421   0.04691906 -0.03531384 ...  0.03301086 -0.03209299
  0.01074501]"
3,20121023_third_presidential_debate_0473,"[ 0.00238533 -0.04123211 -0.02867701 ... -0.03684364 -0.00760096
  0.00357292]"
4,20121023_third_presidential_debate_0609,"[ 0.01127107  0.03081464  0.01595723 ... -0.02916941 -0.03512028
  0.03426363]"
5,20121023_third_presidential_debate_0088,"[ 0.01464158 -0.00954409 -0.05952797 ... -0.02411417  0.00456961
  0.04360437]"
6,20121023_third_presidential_debate_0459,"[ 0.0138675   0.03002411 -0.03378939 ...  0.05570048 -0.0202443
 -0.01458625]"
7,20121023_third_presidential_debate_0605,"[-0.04161786 -0.02618239 -0.01363345 ...  0.03064911 -0.03532804
 -0.05203244]"
8,20121023_third_presidential_debate_0684,"[ 0.01772382  0.01768243 -0.04154093 ...  0.03037137  0.01475437
 -0.00629888]"
9,20121023_third_presidential_debate_0884,"[ 0.02299781 -0.01063608 -0.00326321 ... -0.01848392 -0.03698328
  0.04352459]"
10,20150805_GOP_cleveland_0767,"[ 0.04380087  0.03344076 -0.03216998 ...  0.00729205 -0.03919599
 -0.02491101]"
11,20150805_GOP_cleveland_0595,"[-0.04231346  0.0487593   0.02028846 ... -0.01581165  0.00799868
  0.01956627]"
12,20151013_democrats_las_vegas_0097,"[ 0.01563112  0.02465178 -0.01074979 ...  0.00434043  0.01936573
  0.03059132]"
13,20151013_democrats_las_vegas_0098,"[ 0.01524959  0.03471957 -0.04677855 ... -0.00586902 -0.02965309
  0.01571998]"
14,20151013_democrats_las_vegas_0146,"[ 0.03887108  0.00874054 -0.01053236 ... -0.04868695  0.00824445
 -0.03138062]"
15,20151013_democrats_las_vegas_0146,"[ 0.03887108  0.00874054 -0.01053236 ... -0.04868695  0.00824445
 -0.03138062]"
16,20151013_democrats_las_vegas_0305,"[-0.03206979  0.05975996 -0.04367486 ... -0.00498935  0.02909226
  0.00145228]"
17,20151013_democrats_las_vegas_0096,"[ 0.04072702 -0.00395859 -0.03520304 ...  0.0394843   0.04057746
  0.01549544]"
18,20151013_democrats_las_vegas_0962,"[-0.01186487  0.03209779  0.03122631 ... -0.05416172 -0.05104768
  0.01476051]"
19,20151013_democrats_las_vegas_0182,"[ 0.02406079  0.00302971 -0.03174862 ... -0.04380144  0.00795942
  0.05416131]"
20,20151013_democrats_las_vegas_1475,"[ 0.0095885   0.01177203 -0.04677905 ...  0.00251433  0.01835756
 -0.05092042]"
21,20151013_democrats_las_vegas_1227,"[-0.0213261   0.00175851  0.00153599 ...  0.00708416 -0.01057806
 -0.05840056]"
22,20151013_democrats_las_vegas_1228,"[-0.03386758  0.01100102  0.00449145 ... -0.02552869 -0.01580783
 -0.0536943 ]"
23,20151028_GOP_boulder_0923,"[-0.01843649  0.01931259 -0.00943105 ... -0.00856711 -0.01399378
 -0.02042042]"
24,20151028_GOP_boulder_0923,"[-0.01843649  0.01931259 -0.00943105 ... -0.00856711 -0.01399378
 -0.02042042]"
25,20151028_GOP_boulder_0115,"[ 0.01374927  0.00135428 -0.02941199 ...  0.00830287 -0.0580362
 -0.03097736]"
26,20151028_GOP_boulder_0367,"[ 0.04061019 -0.00068981 -0.0458344  ...  0.06176271 -0.04595847
 -0.01840355]"
27,20151028_GOP_boulder_0842,"[ 0.02217405  0.01172502 -0.01039775 ... -0.01943624 -0.01729451
 -0.04750373]"
28,20151028_GOP_boulder_0949,"[ 0.06530565  0.0039306  -0.02279864 ... -0.00250164 -0.00196991
 -0.01595619]"
29,20151028_GOP_boulder_0950,"[ 0.04791359 -0.00542838  0.00510235 ...  0.02464751 -0.03437803
 -0.04300036]"
30,20151028_GOP_boulder_0958,"[ 0.06301384  0.02113887  0.01642402 ... -0.03678317  0.00566952
  0.00981395]"
31,20151028_GOP_boulder_0744,"[-0.00091366  0.03738438 -0.05390074 ...  0.04942264 -0.04257119
  0.02090337]"
32,20151028_GOP_boulder_0916,"[ 0.04438869  0.05028316 -0.02037813 ...  0.01534452 -0.0257382
 -0.04206732]"
33,20151028_GOP_boulder_1032,"[ 0.02783732 -0.0172921   0.00250981 ... -0.05280608 -0.00426137
 -0.02187728]"
34,20151028_GOP_boulder_1435,"[-0.00632164  0.03132602  0.0199333  ... -0.02600497 -0.04406048
 -0.0114029 ]"
35,20151110_GOP_milwuakee_0389,"[ 0.05280756 -0.00073412 -0.03802065 ...  0.03131191  0.03399592
  0.04779083]"
36,20151110_GOP_milwuakee_0275,"[-0.00463713  0.00356477 -0.04516352 ...  0.03658647  0.00186776
 -0.01243714]"
37,20151110_GOP_milwuakee_0888,"[ 0.02575194  0.01259624 -0.05860052 ... -0.00629691 -0.01987295
  0.02767644]"
38,20151110_GOP_milwuakee_0875,"[ 0.0379029   0.01802606 -0.05839007 ...  0.01469412 -0.03393102
  0.03820598]"
39,20151110_GOP_milwuakee_0656,"[ 0.00251123  0.01412148 -0.04033718 ...  0.03365192 -0.03907379
  0.00171914]"
40,20151110_GOP_milwuakee_0566,"[-0.01278343  0.0247863  -0.0032987  ... -0.02229306  0.03471829
  0.01601445]"
41,20151110_GOP_milwuakee_0567,"[ 0.04011109 -0.03010838  0.00992575 ... -0.016264   -0.03244524
  0.02118593]"
42,20151110_GOP_milwuakee_0568,"[ 0.05519934  0.01228317 -0.02706421 ... -0.03224818  0.01057587
  0.05075748]"
43,20151110_GOP_milwuakee_0313,"[-0.01534899  0.00388053  0.01398742 ... -0.01408842 -0.00106564
 -0.04506708]"
44,20160112_Obama_state_of_the_union_0013,"[-0.01155819 -0.03952624  0.0259377  ...  0.01461769 -0.02712171
  0.03498894]"
45,20160112_Obama_state_of_the_union_0076,"[ 0.05186062  0.03268251 -0.03467367 ...  0.03328719  0.0342841
  0.01466107]"
