,input_claim_ids,used_words_and_synonyms
0,20121023_third_presidential_debate_0959,23
1,20121023_third_presidential_debate_0985,38
2,20121023_third_presidential_debate_0753,25
3,20121023_third_presidential_debate_0473,23
4,20121023_third_presidential_debate_0609,26
5,20121023_third_presidential_debate_0088,43
6,20121023_third_presidential_debate_0459,72
7,20121023_third_presidential_debate_0605,27
8,20121023_third_presidential_debate_0684,54
9,20121023_third_presidential_debate_0884,20
10,20150805_GOP_cleveland_0767,43
11,20150805_GOP_cleveland_0595,11
12,20151013_democrats_las_vegas_0097,7
13,20151013_democrats_las_vegas_0098,7
14,20151013_democrats_las_vegas_0146,25
15,20151013_democrats_las_vegas_0146,25
16,20151013_democrats_las_vegas_0305,18
17,20151013_democrats_las_vegas_0096,17
18,20151013_democrats_las_vegas_0962,15
19,20151013_democrats_las_vegas_0182,53
20,20151013_democrats_las_vegas_1475,32
21,20151013_democrats_las_vegas_1227,7
22,20151013_democrats_las_vegas_1228,13
23,20151028_GOP_boulder_0923,18
24,20151028_GOP_boulder_0923,18
25,20151028_GOP_boulder_0115,47
26,20151028_GOP_boulder_0367,16
27,20151028_GOP_boulder_0842,32
28,20151028_GOP_boulder_0949,21
29,20151028_GOP_boulder_0950,32
30,20151028_GOP_boulder_0958,17
31,20151028_GOP_boulder_0744,37
32,20151028_GOP_boulder_0916,28
33,20151028_GOP_boulder_1032,19
34,20151028_GOP_boulder_1435,23
35,20151110_GOP_milwuakee_0389,18
36,20151110_GOP_milwuakee_0275,14
37,20151110_GOP_milwuakee_0888,24
38,20151110_GOP_milwuakee_0875,29
39,20151110_GOP_milwuakee_0656,25
40,20151110_GOP_milwuakee_0566,20
41,20151110_GOP_milwuakee_0567,17
42,20151110_GOP_milwuakee_0568,12
43,20151110_GOP_milwuakee_0313,45
44,20160112_Obama_state_of_the_union_0013,14
45,20160112_Obama_state_of_the_union_0076,13
46,20160112_Obama_state_of_the_union_0145,34
47,20160112_Obama_state_of_the_union_0071,17
48,20160112_Obama_state_of_the_union_0072,19
49,20160112_Obama_state_of_the_union_0073,13
50,20160115_GOP_charlston_0192,43
51,20160115_GOP_charlston_0192,43
52,20160115_GOP_charlston_0195,27
53,20160115_GOP_charlston_0196,7
54,20160115_GOP_charlston_0197,4
55,20160115_GOP_charlston_0195,27
56,20160115_GOP_charlston_0196,7
57,20160115_GOP_charlston_0197,4
58,20160115_GOP_charlston_0473,38
59,20160115_GOP_charlston_0138,15
60,20160115_GOP_charlston_0139,31
61,20160115_GOP_charlston_0740,15
62,20160115_GOP_charlston_0047,16
63,20160115_GOP_charlston_0048,5
64,20160115_GOP_charlston_0049,16
65,20160115_GOP_charlston_1591,35
66,20160115_GOP_charlston_1616,34
67,20160115_GOP_charlston_1579,22
68,20160115_GOP_charlston_1579,22
69,20160117_democrats_charlston_0413,16
70,20160117_democrats_charlston_0414,10
71,20160117_democrats_charlston_0129,34
72,20160117_democrats_charlston_0122,11
73,20160117_democrats_charlston_0994,18
74,20160117_democrats_charlston_0995,18
75,20160204_democrats_new_hampshire_0623,64
76,20160204_democrats_new_hampshire_0024,26
77,20160204_democrats_new_hampshire_1062,10
78,20160204_democrats_new_hampshire_1032,23
79,20160204_democrats_new_hampshire_1032,23
