,input_claim_ids,named_entities
0,20121023_third_presidential_debate_0959,"[['U.S.', 3434750, 'Q30']]"
1,20121023_third_presidential_debate_0985,"[['America', 'not available', 'not available'], ['$4,300', 'not available', 'not available'], ['23 million', 'not available', 'not available'], ['Americans', 'not available', 'not available']]"
2,20121023_third_presidential_debate_0753,"[['unemployment', 31741, 'Q41171'], ['general population', 19008450, 'Q40357']]"
3,20121023_third_presidential_debate_0473,"[['Olympics', 'not available', 'not available']]"
4,20121023_third_presidential_debate_0609,"[['Israel', 9282173, 'Q801']]"
5,20121023_third_presidential_debate_0088,"[['Governor Romney', 426208, 'Q4496'], ['alQaida', 1921, 'Q34490'], ['months ago', 1160837, 'Q3488489'], ['geopolitical', 163225, 'Q159385'], ['America', 'not available', 'not available'], ['Russia', 25391, 'Q159'], ['alQaida', 1921, 'Q34490'], ['Russia', 25391, 'Q159']]"
6,20121023_third_presidential_debate_0459,"[['$2 trillion', 'not available', 'not available'], ['$5 trillion', 'not available', 'not available'], ['tax cuts', 455990, 'Q7689423'], ['closing loopholes', 3995922, 'Q17512045']]"
7,20121023_third_presidential_debate_0605,"[['Middle East', 19323, 'Q7204'], ['America', 'not available', 'not available']]"
8,20121023_third_presidential_debate_0684,"[['2008', 'not available', 'not available'], ['bin Laden', 22468, 'Q1317'], ['heaven and earth', 2124881, 'Q994716'], ['Pakistan', 23235, 'Q843']]"
9,20121023_third_presidential_debate_0884,"[['shipped overseas', 235890, 'Q61515']]"
10,20150805_GOP_cleveland_0767,"[['America', 'not available', 'not available'], ['rounding errors', 432450, 'Q2145211'], ['30 percent', 'not available', 'not available']]"
11,20150805_GOP_cleveland_0595,"[['Canadianstyle', 'not available', 'not available']]"
12,20151013_democrats_las_vegas_0097,"[['AfricanAmerican', 'not available', 'not available'], ['youth unemployment', 38000781, 'Q4261734'], ['51 percent', 'not available', 'not available']]"
13,20151013_democrats_las_vegas_0098,"[['Hispanic', 56120, 'Q1211934'], ['youth unemployment', 38000781, 'Q4261734'], ['36 percent', 'not available', 'not available']]"
14,20151013_democrats_las_vegas_0146,"[['gold standard', 37412, 'Q173509']]"
15,20151013_democrats_las_vegas_0146,"[['gold standard', 37412, 'Q173509']]"
16,20151013_democrats_las_vegas_0305,"[['Senator Sanders', 361176, 'Q359442'], ['Brady', 339841, 'Q313381'], ['background checks', 880871, 'Q1087682']]"
17,20151013_democrats_las_vegas_0096,"[['America', 'not available', 'not available'], ['Earth', 9228, 'Q2']]"
18,20151013_democrats_las_vegas_0962,"[['Keystone', 'not available', 'not available'], ['Keystone', 'not available', 'not available']]"
19,20151013_democrats_las_vegas_0182,"[['newborn baby', 73165, 'Q998'], ['family', 56276, 'Q35409'], ['paid leave', 665986, 'Q328566'], ['Earth', 9228, 'Q2']]"
20,20151013_democrats_las_vegas_1475,"[['criminal justice', 168219, 'Q117488'], ['Wall Street', 37274, 'Q11690'], ['young people', 379472, 'Q190007'], ['smoking marijuana', 4512923, 'Q1310896']]"
21,20151013_democrats_las_vegas_1227,"[['whistleblower', 33821, 'Q26102']]"
22,20151013_democrats_las_vegas_1228,"[['whistleblower', 33821, 'Q26102']]"
23,20151028_GOP_boulder_0923,"[['92 percent', 'not available', 'not available'], ['92 percent', 'not available', 'not available'], [""Obama's first term"", 20082093, 'Q1379733']]"
24,20151028_GOP_boulder_0923,"[['92 percent', 'not available', 'not available'], ['92 percent', 'not available', 'not available'], [""Obama's first term"", 20082093, 'Q1379733']]"
25,20151028_GOP_boulder_0115,"[['90 percent', 'not available', 'not available']]"
26,20151028_GOP_boulder_0367,"[['35', 'not available', 'not available']]"
27,20151028_GOP_boulder_0842,"[['Democrats', 'not available', 'not available'], ['political opponents', 37307, 'Q217105'], ['60', 'not available', 'not available']]"
28,20151028_GOP_boulder_0949,"[['Mannatech', 7512869, 'Q3372572'], ['nutritional supplements', 104444, 'Q645858']]"
29,20151028_GOP_boulder_0950,"[['cure autism', 4078100, 'Q3333688'], ['$7 million', 'not available', 'not available'], ['deceptive marketing', 932935, 'Q1371586'], ['lawsuit', 113258, 'Q697327'], ['Texas', 29810, 'Q1439']]"
30,20151028_GOP_boulder_0958,[]
31,20151028_GOP_boulder_0744,"[['50', 'not available', 'not available'], ['average cost', 166789, 'Q240673'], ['$34,000', 'not available', 'not available']]"
32,20151028_GOP_boulder_0916,"[['Barack Obama', 534366, 'Q76'], ['big government', 705994, 'Q2985410'], ['$733', 'not available', 'not available']]"
33,20151028_GOP_boulder_1032,"[['Mark Zuckerberg', 2844938, 'Q36215'], ['H1B', 418646, 'Q974595']]"
34,20151028_GOP_boulder_1435,"[['Florida', 18933066, 'Q812'], ['accountability', 161973, 'Q5190563'], ['John', 'not available', 'not available']]"
35,20151110_GOP_milwuakee_0389,"[['1.5 million', 'not available', 'not available'], ['illegal immigrants', 7124412, 'Q856681']]"
36,20151110_GOP_milwuakee_0275,"[['Democrats', 'not available', 'not available']]"
37,20151110_GOP_milwuakee_0888,"[['$500 billion', 'not available', 'not available'], ['China', 5405, 'Q148'], ['$75 billion', 'not available', 'not available'], ['Japan', 15573, 'Q17']]"
38,20151110_GOP_milwuakee_0875,"[['China', 5405, 'Q148']]"
39,20151110_GOP_milwuakee_0656,"[['IRS code', 1836327, 'Q1666281'], ['Bible', 3390, 'Q1845']]"
40,20151110_GOP_milwuakee_0566,"[['cancer', 105219, 'Q12078'], ['preexisting condition', 24355242, 'Q7239228']]"
41,20151110_GOP_milwuakee_0567,[]
42,20151110_GOP_milwuakee_0568,"[['Obamacare', 25226624, 'Q1414593']]"
43,20151110_GOP_milwuakee_0313,"[['Hillary Clinton', 5043192, 'Q6294'], ['government official', 725182, 'Q599151'], ['terrorist attack', 30636, 'Q7283']]"
44,20160112_Obama_state_of_the_union_0013,[]
45,20160112_Obama_state_of_the_union_0076,[]
46,20160112_Obama_state_of_the_union_0145,"[['Guantanamo', 'not available', 'not available']]"
47,20160112_Obama_state_of_the_union_0071,"[['America', 'not available', 'not available']]"
48,20160112_Obama_state_of_the_union_0072,"[['rhetoric', 25447, 'Q81009'], ['America', 'not available', 'not available']]"
49,20160112_Obama_state_of_the_union_0073,"[['United States of America', 3434750, 'Q30'], ['powerful nation', 61398, 'Q1489259']]"
50,20160115_GOP_charlston_0192,[]
51,20160115_GOP_charlston_0192,[]
52,20160115_GOP_charlston_0195,[]
53,20160115_GOP_charlston_0196,[]
54,20160115_GOP_charlston_0197,[]
55,20160115_GOP_charlston_0195,[]
56,20160115_GOP_charlston_0196,[]
57,20160115_GOP_charlston_0197,[]
58,20160115_GOP_charlston_0473,"[['Governor Christie', 5847204, 'Q63879'], ['Barack Obama', 534366, 'Q76'], ['Common Core', 27684253, 'Q5153317'], ['gun control', 44276, 'Q1328508'], ['Sonia Sotomayor', 2095829, 'Q11107'], ['Planned Parenthood', 503193, 'Q2553262']]"
59,20160115_GOP_charlston_0138,"[['FBI', 11127, 'Q8333']]"
60,20160115_GOP_charlston_0139,"[['100', 'not available', 'not available'], ['White House', 33057, 'Q35525']]"
61,20160115_GOP_charlston_0740,"[['Eric Holder', 17568685, 'Q312644'], ['brainwashing', 20948, 'Q743263'], ['American', 'not available', 'not available']]"
62,20160115_GOP_charlston_0047,"[['Americans', 'not available', 'not available'], ['1977', 'not available', 'not available']]"
63,20160115_GOP_charlston_0048,[]
64,20160115_GOP_charlston_0049,"[['ObamaClinton', 'not available', 'not available']]"
65,20160115_GOP_charlston_1591,"[['Ted', 29342321, 'Q775254'], ['Senate', 'not available', 'not available'], ['Rand Paul', 11914121, 'Q463557']]"
66,20160115_GOP_charlston_1616,"[['Marco', 'not available', 'not available'], ['$697 billion', 'not available', 'not available']]"
67,20160115_GOP_charlston_1579,"[['birthright citizenship', 7545952, 'Q4917105']]"
68,20160115_GOP_charlston_1579,"[['birthright citizenship', 7545952, 'Q4917105']]"
69,20160117_democrats_charlston_0413,"[['50', 'not available', 'not available']]"
70,20160117_democrats_charlston_0414,[]
