,input_claim_ids,pos
0,20121023_third_presidential_debate_0959,"['you', 'you', 'they']"
1,20121023_third_presidential_debate_0985,"['policies', 'americans']"
2,20121023_third_presidential_debate_0753,"['unemployment', 'it', 'i']"
3,20121023_third_presidential_debate_0473,"['i', 'that', 'we']"
4,20121023_third_presidential_debate_0609,"['i', 'president', 'he', 'they']"
5,20121023_third_presidential_debate_0088,"['i', 'you', 'what', 'you', 'you']"
6,20121023_third_presidential_debate_0459,"['you', 'military', 'you', 'you', 'loopholes', 'you', 'we']"
7,20121023_third_presidential_debate_0605,"['president', 'i']"
8,20121023_third_presidential_debate_0684,"['you', 'i', 'i', 'i', 'i', 'you', 'we', 'you', 'we']"
9,20121023_third_presidential_debate_0884,"['you', 'you', 'that']"
10,20150805_GOP_cleveland_0767,"['third', 'we', 'percent']"
11,20150805_GOP_cleveland_0595,['you']
12,20151013_democrats_las_vegas_0097,['unemployment']
13,20151013_democrats_las_vegas_0098,['unemployment']
14,20151013_democrats_las_vegas_0146,"['i', 'i', 'i', 'it']"
15,20151013_democrats_las_vegas_0146,"['i', 'i', 'i', 'it']"
16,20151013_democrats_las_vegas_0305,"['you', 'that']"
17,20151013_democrats_las_vegas_0096,['we']
18,20151013_democrats_las_vegas_0962,"['i', 'i']"
19,20151013_democrats_las_vegas_0182,"['you', 'country', 'you', 'we', 'we', 'we']"
20,20151013_democrats_las_vegas_1475,"['we', 'that', 'we', 'who']"
21,20151013_democrats_las_vegas_1227,['he']
22,20151013_democrats_las_vegas_1228,['he']
23,20151028_GOP_boulder_0923,['percent']
24,20151028_GOP_boulder_0923,['percent']
25,20151028_GOP_boulder_0115,"['i', 'i', 'socialist', 'they', 'they', 'they']"
26,20151028_GOP_boulder_0367,['we']
27,20151028_GOP_boulder_0842,"['you', 'you', 'i']"
28,20151028_GOP_boulder_0949,"['this', 'you']"
29,20151028_GOP_boulder_0950,"['they', 'they', 'they', 'you', 'involvement']"
30,20151028_GOP_boulder_0958,"['it', 'i']"
31,20151028_GOP_boulder_0744,"['manufacturer', 'they', 'they', 'cost']"
32,20151028_GOP_boulder_0916,"['one', 'wage']"
33,20151028_GOP_boulder_1032,"['i', 'you', 'he']"
34,20151028_GOP_boulder_1435,"['we', 'john']"
35,20151110_GOP_milwuakee_0389,[]
36,20151110_GOP_milwuakee_0275,['it']
37,20151110_GOP_milwuakee_0888,['we']
38,20151110_GOP_milwuakee_0875,"['it', 'china', 'they']"
39,20151110_GOP_milwuakee_0656,['one']
40,20151110_GOP_milwuakee_0566,"['i', 'you']"
41,20151110_GOP_milwuakee_0567,"['i', 'you', 'families', 'they']"
42,20151110_GOP_milwuakee_0568,"['i', 'obamacare']"
43,20151110_GOP_milwuakee_0313,"['you', 'i', 'who', 'this', 'it']"
44,20160112_Obama_state_of_the_union_0013,"['businesses', 'it']"
45,20160112_Obama_state_of_the_union_0076,['we']
46,20160112_Obama_state_of_the_union_0145,"['that', 'i', 'it', 'it', 'it']"
47,20160112_Obama_state_of_the_union_0071,['i']
48,20160112_Obama_state_of_the_union_0072,"['you', 'america']"
49,20160112_Obama_state_of_the_union_0073,['states']
50,20160115_GOP_charlston_0192,"['you', 'you', 'what', 'this', 'he', 'that', 'you']"
51,20160115_GOP_charlston_0192,"['you', 'you', 'what', 'this', 'he', 'that', 'you']"
52,20160115_GOP_charlston_0195,"['i', 'i', 'i', 'women']"
53,20160115_GOP_charlston_0196,['it']
54,20160115_GOP_charlston_0197,[]
55,20160115_GOP_charlston_0195,"['i', 'i', 'i', 'women']"
56,20160115_GOP_charlston_0196,['it']
57,20160115_GOP_charlston_0197,[]
58,20160115_GOP_charlston_0473,"['christie', 'obama', 'it', 'he']"
59,20160115_GOP_charlston_0138,['she']
60,20160115_GOP_charlston_0139,['she']
61,20160115_GOP_charlston_0740,"['holder', 'he']"
62,20160115_GOP_charlston_0047,['we']
63,20160115_GOP_charlston_0048,['wages']
64,20160115_GOP_charlston_0049,['economy']
65,20160115_GOP_charlston_1591,"['budget', 'you', 'that', 'it']"
66,20160115_GOP_charlston_1616,"['attack', 'he', 'marco', 'i']"
67,20160115_GOP_charlston_1579,"['you', 'you', 'you', 'you']"
68,20160115_GOP_charlston_1579,"['you', 'you', 'you', 'you']"
69,20160117_democrats_charlston_0413,"['we', 'they']"
70,20160117_democrats_charlston_0414,['we']
71,20160117_democrats_charlston_0129,"['i', 'sanders', 'i', 'who']"
72,20160117_democrats_charlston_0122,"['he', 'we']"
73,20160117_democrats_charlston_0994,['much']
74,20160117_democrats_charlston_0995,[]
75,20160204_democrats_new_hampshire_0623,"['group', 'he']"
76,20160204_democrats_new_hampshire_0024,"['they', 'income']"
77,20160204_democrats_new_hampshire_1062,['workers']
78,20160204_democrats_new_hampshire_1032,"['i', 'i']"
79,20160204_democrats_new_hampshire_1032,"['i', 'i']"
80,20160211_democrats_milwuakee_0052,['americans']
81,20160211_democrats_milwuakee_0097,['we']
82,20160211_democrats_milwuakee_0332,"['i', 'community']"
83,20160211_democrats_milwuakee_0909,['he']
84,20160213_GOP_greenville_0210,"['we', 'i', 'that']"
85,20160213_GOP_greenville_0210,"['we', 'i', 'that']"
86,20160213_GOP_greenville_0212,['nobody']
87,20160213_GOP_greenville_0216,"['i', 'i', 'it', 'you']"
88,20160213_GOP_greenville_1002,"['i', 'i']"
89,20160213_GOP_greenville_1528,"['stalin', 'you']"
90,20160225_GOP_texas_1801,"['he', 'i']"
91,20160225_GOP_texas_1172,"['what', 'that', 'donald']"
92,20160225_GOP_texas_1173,"['government', 'he', 'you', 'you']"
93,20160225_GOP_texas_0120,"['you', 'you', 'it', 'opening', 'i']"
94,20160225_GOP_texas_0121,['it']
95,20160225_GOP_texas_0962,"['they', 'they']"
96,20160225_GOP_texas_0963,"['you', 'they', 'that', 'they']"
97,20160225_GOP_texas_0964,['we']
98,20160303_GOP_michigan_0237,"['i', 'we', 'i', 'it']"
99,20160303_GOP_michigan_0418,['guy']
100,20160303_GOP_michigan_1158,['we']
101,20160303_GOP_michigan_0574,['trump']
102,20160303_GOP_michigan_0575,[]
103,20160303_GOP_michigan_0940,"['you', 'family', 'man', 'they', 'i', 'most', 'they', 'it', 'they', 'they', 'what']"
104,20160303_GOP_michigan_0940,"['you', 'family', 'man', 'they', 'i', 'most', 'they', 'it', 'they', 'they', 'what']"
105,20160309_democrats_miami_0110,"['i', 'predecessors']"
106,20160309_democrats_miami_0241,"['we', 'clinton', 'who', 'she', 'state']"
107,20160309_democrats_miami_0245,"['i', 'clinton']"
108,20160309_democrats_miami_0778,"['you', 'who', 'percent']"
109,20160309_democrats_miami_0784,['kids']
110,20160309_democrats_miami_0784,['kids']
111,20160309_democrats_miami_0939,"['plan', 'sanders', 'he', 'which']"
112,20160311_GOP_miami_0844,"['donald', 'he']"
113,20160311_GOP_miami_0149,"['i', 'which', 'you']"
114,20160329_kasich_milwuakee_0029,"['i', 'that']"
115,20160329_kasich_milwuakee_0259,[]
116,20160331_Cruz_Miluakee_0100,"['he', 'he', 'he', 'he']"
117,20160331_Cruz_Miluakee_0173,"['lets', 'hours', 'you', 'him']"
118,20160401_Trump_Milwaukee_0653,"['politicians', 'i']"
119,20160401_Trump_Milwaukee_0334,"['i', 'you', 'i', 'obama', 'threat', 'i', 'guy']"
120,20160401_Trump_Milwaukee_0812,"['it', 'i', 'he', 'he', 'he', 'who']"
121,20160401_Trump_Milwaukee_0052,"['she', 'they', 'story']"
122,20160404_Hillary_meet_the_press_0153,"['i', 'managers']"
123,20160404_Hillary_meet_the_press_0174,"['i', 'anybody', 'i']"
124,20160415_NY_democratic_debate_0541,"['he', 'he']"
125,20160415_NY_democratic_debate_0300,['i']
126,20160415_NY_democratic_debate_0557,"['i', 'law', 'sanders', 'i', 'who']"
127,20160415_NY_democratic_debate_1183,['they']
128,20160415_NY_democratic_debate_0433,"['campaign', 'i', 'we']"
129,20160415_NY_democratic_debate_0434,"['clinton', ""'s""]"
130,20160415_NY_democratic_debate_1295,['we']
131,20160417_meet_the_press_0059,"['you', 'i', 'what', 'i', 'campaign', 'this', 'we', 'it', 'amount', 'we', 'it']"
132,20160424_meet_the_press_0384,['people']
133,20160508_Trump_meet_the_press_0366,['it']
134,20160508_Trump_meet_the_press_0375,['we']
135,20160508_Trump_meet_the_press_0375,['we']
136,20160508_Trump_meet_the_press_0395,['businesses']
137,20160508_Trump_meet_the_press_0394,['we']
138,20160508_Trump_meet_the_press_0394,['we']
139,20160529_Sanders_MeetThePress_0184,['she']
140,20160529_Sanders_MeetThePress_0179,['i']
