,input_claim_ids,used_words_and_synonyms
0,20121023_third_presidential_debate_0959,"['clear', 'open', 'unclutter', 'clear_up', 'authorize', 'pass', 'net', 'gain', 'acquit', 'clean', 'well-defined', 'absolved', 'clearly', 'w', 'supply', 'provide', 'put_up', 'leave', 'government', 'politics', 'aid', 'united_states_government', 'united_states', 'car', 'company', 'caller', 'party', ""ship's_company"", 'evening', 'flush', 'even', 'tied', 'travel', 'go', 'become', 'run', 'proceed', 'sound', 'function', 'run_low', 'move', 'survive', 'die', 'belong', 'start', 'blend', 'fit', 'rifle', 'plump', 'fail', 'bankruptcy', '.']"
1,20121023_third_presidential_debate_0985,"['policy', 'stopping_point', 'last', 'death', 'end', 'survive', 'concluding', 'final', 'four', 'four-spot', 'old_age', 'long_time', 'days', 'year', 'class', 'see', 'understand', 'witness', 'visualize', 'learn', 'watch', 'meet', 'determine', 'visit', 'attend', 'go_steady', 'examine', 'experience', 'interpret', 'income', 'united_states', 'america', 'decline', 'decay', 'descent', 'worsen', 'refuse', 'every', 'm', 'family', 'kin', 'syndicate', ',', '$', '4', 'term', 'condition', 'terminus', ',', 'twenty-three', 'million', 'american', 'american_english', 'still', 'hush', 'distillery', 'calm', 'inactive', 'silent', 'placid', 'however', 'even', 'fight', 'struggle', 'clamber', 'contend', 'struggling', 'discovery', 'find', 'detect', 'line_up', 'discover', 'rule', 'receive', 'recover', 'find_oneself', 'good', 'commodity', 'full', 'estimable', 'beneficial', 'adept', 'dear', 'dependable', 'effective', 'well', 'thoroughly', 'occupation', 'job', 'problem', 'caper', 'subcontract', 'speculate', '.']"
2,20121023_third_presidential_debate_0753,"['consequence', ',', 'veteran', ""'"", 'unemployment', 'actually', 'lower_berth', 'lower', 'turn_down', 'frown', 'low', 'abject', 'humble', 'depleted', 'broken', 'gloomy', 'general', 'cosmopolitan', 'population', ',', 'higher', 'high', 'eminent', 'gamey', 'come', 'arrive', 'issue_forth', 'hail', 'fall', 'total', 'occur', 'derive', 'do', 'office', 'agency', 'function', 'position', '.']"
3,20121023_third_presidential_debate_0473,"['travel', 'go', 'become', 'run', 'proceed', 'sound', 'function', 'run_low', 'move', 'survive', 'die', 'belong', 'start', 'blend', 'fit', 'rifle', 'plump', 'fail', 'olympic_games', 'balance', 'proportion', 'remainder', 'libra', 'symmetry', 'counterweight', 'balance_wheel', 'poise', ',', 'get', 'receive', 'arrive', 'bring', 'experience', 'pay_back', 'have', 'induce', 'grow', 'contract', 'make', 'drive', 'catch', 'scram', 'draw', 'perplex', 'get_down', 'suffer', 'beget', 'cause', 'produce', 'create', 'gain', 'do', 'form', 'reach', 'construct', 'name', 'lay_down', 'hold', 'take', 'stool', 'cook', 'seduce', 'made', 'success', 'achiever', '.']"
4,20121023_third_presidential_debate_0609,"['think', 'remember', 'intend', 'president', 'president_of_the_united_states', 'state', 'allege', 'suppose', 'read', 'order', 'pronounce', 'say', 'aforesaid', 'departure', 'passing', 'going', 'travel', 'go', 'become', 'run', 'proceed', 'sound', 'function', 'run_low', 'move', 'survive', 'die', 'belong', 'start', 'blend', 'fit', 'rifle', 'plump', 'fail', 'make', 'create', 'produce', 'day', 'daylight', 'israel', 'detect', 'notice', 'comment', 'noticed', 'well', 'good', '.']"
5,20121023_third_presidential_debate_0088,"['governor', 'r', ',', ""'"", 'gladiolus', 'glad', 'beaming', 'acknowledge', 'recognize', 'spot', 'accredit', 'greet', 'a', ""'"", 'menace', 'threat', 'terror', 'calendar_month', 'month', 'ago', 'ask', 'necessitate', ',', ""'"", 'large', 'big', 'bad', 'boastful', 'adult', 'geopolitical', 'facing', 'lining', 'confront', 'front', 'face', 'united_states', 'america', ',', 'state', 'allege', 'suppose', 'read', 'order', 'pronounce', 'say', 'aforesaid', 'soviet_union', 'soviet_russia', 'russia', 'a', ',', '.']"
6,20121023_third_presidential_debate_0459,"['calcium', 'california', 'n', 'spend', '$', 'two', 'million', 'trillion', 'extra', 'military', 'spending', 'outgo', 'request', 'ask', 'necessitate', ',', '$', 'five', 'tax', 'cut', 'stinger', 'deletion', 'snub', 'baseball_swing', 'reduce', 'swerve', 'write_out', 'edit', 'hack', 'switch_off', 'ignore', 'abridge', 'dilute', 'geld', ',', 'say', 'state', 'allege', 'suppose', 'read', 'order', 'pronounce', ""'"", 'departure', 'passing', 'going', 'travel', 'go', 'become', 'run', 'proceed', 'sound', 'function', 'run_low', 'move', 'survive', 'die', 'belong', 'start', 'blend', 'fit', 'rifle', 'plump', 'fail', 'wage', 'pay', 'give', 'pay_up', 'yield', 'shutting', 'conclusion', 'closing', 'closure', 'completion', 'close', 'close_up', 'conclude', 'loophole', 'tax_write-off', 'deduction', 'subtraction', 'discount', 'w', 'naming', 'appointment', 'name', 'appoint', 'mention', 'identify', 'list', 'diagnose', 'appellative', ',', 'somehow', ""'"", 'besides', 'deal', 'bargain', 'batch', 'softwood', 'hand', 'cover', 'consider', 'cope', 'distribute', 'manage', 'conduct', 'share', 'deficit', ""'"", 'already', 'get', 'receive', 'arrive', 'bring', 'experience', 'pay_back', 'have', 'induce', 'grow', 'contract', 'make', 'drive', 'catch', 'scram', 'draw', 'perplex', 'get_down', 'suffer', 'beget', '.']"
7,20121023_third_presidential_debate_0605,"['president', 'president_of_the_united_states', 'get_down', 'begin', ""'"", 'name', 'call', 'shout', 'visit', 'address', 'bid', 'predict', 'apology', 'tour', 'go', 'enlistment', 'departure', 'passing', 'going', 'travel', 'become', 'run', 'proceed', 'sound', 'function', 'run_low', 'move', 'survive', 'die', 'belong', 'start', 'blend', 'fit', 'rifle', 'plump', 'fail', 'assorted', 'respective', 'diverse', 'versatile', 'state', 'nation', 'center', 'middle', 'in-between', 'east', 'knock', 'criticize', 'united_states', 'america', '.']"
8,20121023_third_presidential_debate_0684,"['campaigner', 'candidate', '2', 'state', 'allege', 'suppose', 'read', 'order', 'pronounce', 'say', 'aforesaid', ',', 'get', 'become', 'receive', 'arrive', 'bring', 'experience', 'pay_back', 'have', 'induce', 'grow', 'contract', 'make', 'drive', 'catch', 'scram', 'draw', 'perplex', 'get_down', 'suffer', 'beget', 'bin', 'bank_identification_number', 'ladle', 'load', 'laden', 'sights', 'sight', 'view', 'batch', 'spy', ',', 'w', 'return', 'take', 'lead', 'assume', 'choose', 'accept', 'fill', 'consider', 'necessitate', 'film', 'remove', 'consume', 'learn', 'claim', 'aim', 'carry', 'lease', 'subscribe', 'contain', 'shooting', 'shot', 'stroke', 'scene', 'injection', 'nip', 'guess', 'snapshot', 'blastoff', 'shoot', 'blast', 'dart', 'tear', 'photograph', 'inject', 'fritter', 'changeable', ',', 'n', 'move', 'motion', 'travel', 'go', 'be_active', 'act', 'affect', 'motivate', 'eden', 'heaven', 'earth', 'land', 'worldly_concern', 'ground', 'one', 'matchless', 'man', 'serviceman', 'homo', 'valet', 'world', ',', 'ask', 'pakistan', 'permission', 'license', '.']"
9,20121023_third_presidential_debate_0884,"['familiar', 'companion', 'conversant', 'occupation', 'job', 'problem', 'caper', 'subcontract', 'speculate', 'transport', 'ship', 'embark', 'abroad', 'oversea', 'overseas', ',', 'invest', 'endow', 'induct', 'company', 'caller', 'party', ""ship's_company"", 'transportation', 'shipping', '.']"
10,20150805_GOP_cleveland_0767,"['today', 'nowadays', 'united_states', 'america', ',', 'one-third', 'third_base', 'third', 'third_gear', 'child', 'kid', 'kyd', 'pull_the_leg_of', ',', 'spend', 'p', 'student', 'scholar', 'state', 'country', 'nation', 'area', 'universe', 'world', 'earth', 'populace', 'worldly_concern', 'global', 'couple', 'match', 'pair', 'copulate', 'rounding', 'round', 'attack', 'polish', 'round_off', 'mistake', 'erroneousness', 'error', ',', 'honest', 'dependable', 'good', ',', 'thirty', 'percentage', 'college', 'a', 'c', '.']"
11,20150805_GOP_cleveland_0595,"['s', 'system', 'arrangement', 'organization', ',', 'c', '.']"
12,20151013_democrats_las_vegas_0097,"['a', 'young_person', 'young', 'youth', 'unemployment', 'fifty-one', 'percentage', '.']"
13,20151013_democrats_las_vegas_0098,"['spanish_american', 'hispanic', 'young_person', 'young', 'youth', 'unemployment', 'thirty-six', 'percentage', '.']"
14,20151013_democrats_las_vegas_0146,"['say', 'state', 'allege', 'suppose', 'read', 'order', 'pronounce', ',', 'secretary', 'repository', 'state_of_matter', 'country', 'department_of_state', 'submit', 'express', ',', 'three', 'trey', 'old_age', 'long_time', 'days', 'year', 'class', 'ago', ',', 'hope', 'hop', 'w', 'gold', 'amber', 'aureate', 'standard', 'criterion', '.']"
15,20151013_democrats_las_vegas_0146,"['say', 'state', 'allege', 'suppose', 'read', 'order', 'pronounce', ',', 'secretary', 'repository', 'state_of_matter', 'country', 'department_of_state', 'submit', 'express', ',', 'three', 'trey', 'old_age', 'long_time', 'days', 'year', 'class', 'ago', ',', 'hope', 'hop', 'w', 'gold', 'amber', 'aureate', 'standard', 'criterion', '.']"
16,20151013_democrats_las_vegas_0305,"['senator', 'drum_sander', ',', 'vote', 'brady', 'bill', 'circular', 'poster', 'beak', 'charge', 'placard', 'mandate', 'background', 'setting', 'backdrop', 'check', 'assay', 'arrest', 'confirmation', 'check_mark', 'hindrance', 'bridle', 'see', 'control', 'match', 'discipline', 'determine', 'crack', 'wait', 'expect', 'waiting', 'time_period', 'period', 'menstruation', '.']"
17,20151013_democrats_las_vegas_0096,"['today', 'nowadays', 'united_states', 'america', ',', 'people', 'citizenry', 'multitude', 'jail', 'imprison', 'state', 'country', 'nation', 'area', 'earth', 'land', 'worldly_concern', 'ground', '.']"
18,20151013_democrats_las_vegas_0962,"['never', 'take', 'lead', 'assume', 'bring', 'choose', 'accept', 'fill', 'consider', 'necessitate', 'film', 'remove', 'consume', 'learn', 'claim', 'aim', 'carry', 'lease', 'subscribe', 'contain', 'drive', 'contract', 'position', 'military_position', 'status', 'placement', 'situation', 'side', 'place', 'stead', 'put', 'anchor', 'keystone', '.']"
19,20151013_democrats_las_vegas_0182,"['see', 'understand', 'witness', 'visualize', 'learn', 'watch', 'meet', 'determine', 'visit', 'attend', 'go_steady', 'examine', 'experience', 'interpret', 'every', 'major', 'state', 'country', 'nation', 'area', 'saying', 'allege', 'suppose', 'read', 'order', 'pronounce', 'say', 'ma', ',', 'baby', 'child', 'pamper', ',', ""'"", 'g', 'sodium', 'offprint', 'separate', 'distinguish', 'divide', 'classify', 'break', 'discriminate', 'branch', 'freestanding', 'disjoined', 'neonate', 'newborn', ',', 'departure', 'passing', 'going', 'travel', 'go', 'become', 'run', 'proceed', 'sound', 'function', 'run_low', 'move', 'survive', 'die', 'belong', 'start', 'blend', 'fit', 'rifle', 'plump', 'fail', 'g', 'checkup', 'medical', 'aesculapian', 'family', 'class', 'kin', 'syndicate', 'pay', 'give', 'pay_up', 'yield', 'paid', 'nonrecreational', 'gainful', 'leave', 'farewell', 'exit', 'entrust', 'bequeath', 'impart', 'forget', ',', 'like', 'wish', 'alike', 'comparable', 'earth', 'land', 'worldly_concern', 'ground', '.']"
20,20151013_democrats_las_vegas_1475,"['criminal', 'condemnable', 'justice', 'judge', 'department_of_justice', 'system', 'arrangement', 'organization', 'lashkar-e-taiba', 'let', 'permit', 'get', 'lease', 'chief_executive_officer', 'wall', 'rampart', 'street', 'walk', 'base_on_balls', 'walk_of_life', 'away', 'aside', 'off', ',', 'yet', 'so_far', 'even', 'however', 'imprison', 'giving', 'give', 'yield', 'hold', 'render', 'impart', 'establish', 'sacrifice', 'pass', 'grant', 'move_over', 'feed', 'contribute', 'collapse', 'afford', 'big', 'jail', 'sentence', 'conviction', 'prison_term', 'young', 'new', 'youthful', 'unseasoned', 'people', 'citizenry', 'multitude', 'smoke', 'fume', 'smoking', 'marijuana', 'cannabis', '.']"
21,20151013_democrats_las_vegas_1227,"['c', 'whistle_blower', '.']"
22,20151013_democrats_las_vegas_1228,"['c', 'get', 'become', 'receive', 'arrive', 'bring', 'experience', 'pay_back', 'have', 'induce', 'grow', 'contract', 'make', 'drive', 'catch', 'scram', 'draw', 'perplex', 'get_down', 'suffer', 'beget', 'protection', 'protective_covering', 'security', 'auspices', 'whistle_blower', '.']"
23,20151028_GOP_boulder_0923,"['ninety-two', 'percentage', 'occupation', 'job', 'problem', 'caper', 'subcontract', 'speculate', 'doomed', 'lose', 'misplace', 'fall_back', 'miss', 'suffer', 'lost', 'confused', 'bemused', 'baffled', 'helpless', 'b', 'o', ""'"", 'first', 'beginning', 'first_base', 'first_gear', 'inaugural', 'foremost', 'term', 'condition', 'terminus', 'belong', 'belong_to', 'woman', 'charwoman', 'womanhood', '.']"
24,20151028_GOP_boulder_0923,"['ninety-two', 'percentage', 'occupation', 'job', 'problem', 'caper', 'subcontract', 'speculate', 'doomed', 'lose', 'misplace', 'fall_back', 'miss', 'suffer', 'lost', 'confused', 'bemused', 'baffled', 'helpless', 'b', 'o', ""'"", 'first', 'beginning', 'first_base', 'first_gear', 'inaugural', 'foremost', 'term', 'condition', 'terminus', 'belong', 'belong_to', 'woman', 'charwoman', 'womanhood', '.']"
25,20151028_GOP_boulder_0115,"['tell', 'state', 'order', 'assure', 'distinguish', ',', 'socialist', 'socialistic', 'say', 'allege', 'suppose', 'read', 'pronounce', ""'"", 'departure', 'passing', 'going', 'travel', 'go', 'become', 'run', 'proceed', 'sound', 'function', 'run_low', 'move', 'survive', 'die', 'belong', 'start', 'blend', 'fit', 'rifle', 'plump', 'fail', 'wage', 'pay', 'give', 'pay_up', 'yield', 'e', 'hold', 'render', 'impart', 'establish', 'sacrifice', 'pass', 'grant', 'move_over', 'feed', 'contribute', 'collapse', 'afford', 'e', 'free', 'rid', 'dislodge', 'exempt', 'absolve', 'release', 'unblock', 'complimentary', 'detached', 'spare', 'barren', 'loose', ',', 'demur', 'exclude', 'n', ""'"", 'raise', 'ascent', 'lift', 'grow', 'rear', 'arouse', 'enhance', 'promote', 'recruit', 'resurrect', 'tax', 'taxis', 'ninety', 'percentage', '.']"
26,20151028_GOP_boulder_0367,"['first', 'beginning', 'first_base', 'first_gear', 'inaugural', 'foremost', 'time', 'clock_time', 'fourth_dimension', 'meter', 'prison_term', 'clock', 'thirty-five', 'old_age', 'long_time', 'days', 'year', 'class', ',', 'business', 'commercial_enterprise', 'occupation', 'clientele', 'shutting', 'conclusion', 'closing', 'closure', 'completion', 'close', 'close_up', 'conclude', 'start', 'get_down', 'begin', 'depart', 'originate', 'startle', 'starting', '.']"
27,20151028_GOP_boulder_0842,"['well', 'good', ',', 'list', 'number', 'listed', 'litany', 'discredit', 'disbelieve', 'discredited', 'attack', 'fire', 'approach', 'assail', 'democrat', 'political', 'opposition', 'adversary', ',', ""'"", 'g', 'sodium', 'waste', 'thriftlessness', 'barren', 'neutralize', 'consume', 'pine_away', 'lay_waste_to', 'godforsaken', 'sixty', 'second', 'moment', 'second_base', 'second_gear', 'irregular', 'particularization', 'detail', '.']"
28,20151028_GOP_boulder_0949,"['company', 'caller', 'party', ""ship's_company"", 'name', 'call', 'shout', 'visit', 'address', 'bid', 'predict', 'm', ',', 'maker', 'godhead', 'manufacturer', 'nutritional', 'addendum', 'supplement', 'accessory', 'append', ',', '1', 'relationship', 'kinship', '.']"
29,20151028_GOP_boulder_0950,"['offer', 'volunteer', 'put_up', 'extend', 'propose', 'claim', 'title', 'call', 'c', 'remedy', 'bring_around', 'cure', 'autism', ',', 'cancer', ',', 'pay', 'give', 'pay_up', 'yield', 'paid', 'nonrecreational', 'gainful', '$', 'seven', 'million', 'settle', 'decide', 'reconcile', 'sink', 'subside', 'ensconce', 'finalize', 'fall', 'deceptive', 'selling', 'marketing', 'market', 'commercialize', 'lawsuit', 'texas', ',', 'yet', 'so_far', 'even', 'however', ""'"", 'engagement', 'involvement', 'interest', 'affair', 'participation', 'continue', 'proceed', 'retain', 'stay', 'cover', 'continued', '.']"
30,20151028_GOP_boulder_0958,"['absolutely', 'absurd', 'say', 'state', 'allege', 'suppose', 'read', 'order', 'pronounce', 'kind', 'relationship', 'kinship', '.']"
31,20151028_GOP_boulder_0744,"['well', 'good', ',', 'average', 'modal', 'median', 'small', 'minor', 'little', 'humble', 'modest', 'belittled', 'manufacturer', ',', 'any', ""'"", 'fabrication', 'manufacture', 'fabricate', ',', 'drug', 'a', ',', 'lupus_erythematosus', 'less', 'fifty', 'employee', ',', 'cost', 'monetary_value', 'price', 'footing', 'term', 'condition', 'terminus', 'regulation', 'rule', '$', '3', 'p', '.']"
32,20151028_GOP_boulder_0916,"['one', 'matchless', 'mention', 'note', 'fact', 'b', 'o', 'large', 'big', 'bad', 'boastful', 'adult', 'boastfully', 'government', 'politics', 'economy', ',', 'median', 'medial', 'wage', 'engage', 'woman', 'charwoman', 'womanhood', 'drop', 'sink', 'fell', 'spend', 'flatten', 'dangle', 'dismiss', 'dribble', 'shed', 'neglect', 'devolve', '$', '7', '.']"
33,20151028_GOP_boulder_1032,"['think', 'remember', 'intend', 'name', 'call', 'shout', 'visit', 'address', 'bid', 'predict', 'mark', 'marker', 'target', 'chump', 'sign', 'scratch', 'crisscross', 'bell_ringer', 'tag', 'distinguish', 'commemorate', 'stigmatize', 'notice', 'scar', 'score', 'set', 'cross_off', 'check', 'grade', 'punctuate', 'z', ""'"", 'personal', 'senator', 'favor', 'party_favor', 'prefer', 'privilege', 'h', '.']"
34,20151028_GOP_boulder_1435,"['florida', ',', 'last', 'low', 'abject', 'humble', 'depleted', 'broken', 'gloomy', 'lowest', 'i', 'tuition', 'tutelage', 'state', 'state_of_matter', 'country', 'department_of_state', 'submit', 'express', ',', ""'"", 'accountability', ',', 'toilet', 'john', 'whoremaster', 'allege', 'suppose', 'read', 'order', 'pronounce', 'say', 'aforesaid', '.']"
35,20151110_GOP_milwuakee_0389,"['travel', 'move', 'go', 'be_active', 'act', 'affect', 'motivate', 'moved', '1', 'million', 'illegal', 'immigrant', 'state', 'country', 'nation', 'area', ',', 'beyond', 'boundary_line', 'margin', 'edge', 'molding', 'border', 'surround', 'bound', 'frame', '.']"
36,20151110_GOP_milwuakee_0275,"['look', 'appear', 'seem', 'worst', 'bad', 'regretful', 'city', 'run', 'test', 'footrace', 'streak', 'rivulet', 'political_campaign', 'discharge', 'scat', 'operate', 'function', 'range', 'campaign', 'play', 'tend', 'prevail', 'carry', 'guide', 'ply', 'hunt', 'race', 'move', 'melt', 'ladder', 'democrat', ',', 'governor', '.']"
37,20151110_GOP_milwuakee_0888,"[""'"", 'lose', 'misplace', 'fall_back', 'miss', 'suffer', '$', 'five_hundred', 'billion', 'million', 'footing', 'price', 'term', 'condition', 'terminus', 'imbalance', 'asymmetry', 'china', 'taiwan', 'chinaware', ',', '$', 'seventy-five', 'year', 'class', 'japan', '.']"
38,20151110_GOP_milwuakee_0875,"[""'"", 'deal', 'bargain', 'batch', 'softwood', 'hand', 'cover', 'consider', 'cope', 'distribute', 'manage', 'conduct', 'share', 'plan', 'design', 'designed', 'china', 'taiwan', 'chinaware', 'semen', 'come', 'arrive', 'issue_forth', 'hail', 'fall', 'total', 'occur', 'derive', 'do', ',', 'always', 'constantly', ',', 'back', 'rear', 'spinal_column', 'binding', 'second', 'bet_on', 'door', 'doorway', 'wholly', 'return', 'take', 'lead', 'assume', 'bring', 'choose', 'accept', 'fill', 'necessitate', 'film', 'remove', 'consume', 'learn', 'claim', 'aim', 'carry', 'lease', 'subscribe', 'contain', 'drive', 'contract', 'advantage', 'e', '.']"
39,20151110_GOP_milwuakee_0656,"['words', 'lyric', 'quarrel', ""actor's_line"", 'word', 'news', 'discussion', 'parole', 'son', 'password', 'bible', 'give_voice', 'internal_revenue_service', 'code', 'one', 'matchless', 'good', 'commodity', 'full', 'estimable', 'beneficial', 'adept', 'dear', 'dependable', 'effective', 'well', 'thoroughly', '.']"
40,20151110_GOP_milwuakee_0566,"['understand', 'sympathize', 'person', ""'"", 'battle', 'cancer', 'become', 'know', 'acknowledge', 'sleep_together', 'known', 'preexist', 'preexistent', 'condition', 'circumstance', 'discipline', 'stipulate', '.']"
41,20151110_GOP_milwuakee_0567,"['understand', 'sympathize', 'let', 'permit', 'allow', 'leave', 'admit', 'give_up', 'family', 'class', 'kin', 'syndicate', 'go', 'adam', 'crack', 'travel', 'become', 'run', 'proceed', 'sound', 'function', 'run_low', 'move', 'survive', 'die', 'belong', 'start', 'blend', 'fit', 'rifle', 'plump', 'fail', 'bankrupt', 'truly', 'rightfully', 'sincerely', 'in_truth', 'need', 'motivation', 'indigence', 'necessitate', 'want', 'aid', 'assistant', 'avail', 'help', 'help_oneself', 'serve', '.']"
42,20151110_GOP_milwuakee_0568,"[',', 'besides', 'understand', 'sympathize', 'o', 'n', 'helping', 'help', 'help_oneself', 'serve', 'avail', 'a', '.']"
43,20151110_GOP_milwuakee_0313,"[',', 'know', 'acknowledge', 'sleep_together', ',', 'expression', 'look', 'spirit', 'search', 'front', 'attend', 'expect', 'count', 'person', 'like', 'wish', 'alike', 'comparable', 'hillary', 'clinton', ',', 'sit', 'sit_down', 'model', 'ride', 'baby-sit', 'seat', 'tell', 'state', 'order', 'assure', 'distinguish', 'daughter', 'government', 'politics', 'official', ',', 'terrorist', 'attack', 'fire', 'approach', 'assail', ',', 'e', 'e', 'video', 'video_recording', 'television', '.']"
44,20160112_Obama_state_of_the_union_0013,"['business', 'commercial_enterprise', 'occupation', 'clientele', 'make', 'create', 'produce', 'job', 'problem', 'caper', 'subcontract', 'speculate', 'every', 'single', 'one', 'individual', 'unmarried', 'calendar_month', 'month', 's', 'become', 'law', 'jurisprudence', 'police', '.']"
45,20160112_Obama_state_of_the_union_0076,"['spend', 'military', 'following', 'adjacent', 'future', 'next', 'eight', 'ashcan_school', 'eight-spot', 'state', 'nation', 'unite', 'compound', 'combine', 'aggregate', 'blend', 'combined', '.']"
46,20160112_Obama_state_of_the_union_0145,"['support', 'keep', 'hold', 'continue', 'prevent', 'observe', 'retain', 'sustain', 'restrain', 'keep_open', 'preserve', 'working', 'work', 'function', 'exercise', 'make', 'bring', 'cultivate', 'influence', 'shape', 'knead', 'exploit', 'solve', 'ferment', 'sour', 'running', 'close', 'exclude', 'shut', 'closed', 'prison', 'guantanamo', ""'"", 'expensive', ',', ""'"", 'unnecessary', ',', 'serve', 'serf', 'service', 'suffice', 'recruitment', 'booklet', 'enemy', 'foe', '.']"
