,input_claim_ids,used_words_and_synonyms
0,20121023_third_presidential_debate_0959,"['clear', 'would', 'provide', 'government', 'assistance', 'u.s.', 'auto', 'companies', 'even', 'went', 'bankruptcy', '.']"
1,20121023_third_presidential_debate_0985,"['policies', 'last', 'four', 'years', 'seen', 'incomes', 'america', 'decline', 'every', 'year', 'middleincome', 'families', ',', '$', '4,300', 'term', ',', '23', 'million', 'americans', 'still', 'struggling', 'find', 'good', 'job', '.']"
2,20121023_third_presidential_debate_0753,"['consequence', ',', 'veterans', ""'"", 'unemployment', 'actually', 'lower', 'general', 'population', ',', 'higher', 'came', 'office', '.']"
3,20121023_third_presidential_debate_0473,"['went', 'olympics', 'balance', ',', 'got', 'balance', 'made', 'success', '.']"
4,20121023_third_presidential_debate_0609,"['think', 'president', 'said', 'going', 'create', 'daylight', 'israel', 'noticed', 'well', '.']"
5,20121023_third_presidential_debate_0088,"['governor', 'romney', ',', ""'m"", 'glad', 'recognize', 'alqaida', ""'s"", 'threat', 'months', 'ago', 'asked', ',', ""'s"", 'biggest', 'geopolitical', 'threat', 'facing', 'america', ',', 'said', 'russia', 'alqaida', ',', 'said', 'russia', '.']"
6,20121023_third_presidential_debate_0459,"['ca', ""n't"", 'spend', '$', '2', 'trillion', 'additional', 'military', 'spending', 'military', 'asking', ',', '$', '5', 'trillion', 'tax', 'cuts', ',', 'say', ""'re"", 'going', 'pay', 'closing', 'loopholes', 'deductions', 'without', 'naming', 'loopholes', 'deductions', ',', 'somehow', ""'re"", 'also', 'going', 'deal', 'deficit', ""'ve"", 'already', 'got', '.']"
7,20121023_third_presidential_debate_0605,"['president', 'began', ""'ve"", 'called', 'apology', 'tour', 'going', 'various', 'nations', 'middle', 'east', 'criticizing', 'america', '.']"
8,20121023_third_presidential_debate_0684,"['candidate', '2008', 'said', ',', 'got', 'bin', 'laden', 'sights', ',', 'would', 'take', 'shot', ',', 'said', ""n't"", 'move', 'heaven', 'earth', 'get', 'one', 'man', ',', 'said', 'ask', 'pakistan', 'permission', '.']"
9,20121023_third_presidential_debate_0884,"['familiar', 'jobs', 'shipped', 'overseas', ',', 'invested', 'companies', 'shipping', 'jobs', 'overseas', '.']"
10,20150805_GOP_cleveland_0767,"['today', 'america', ',', 'third', 'kids', ',', 'spend', 'per', 'student', 'country', 'world', 'couple', 'rounding', 'errors', ',', 'honest', ',', '30', 'percent', 'college', 'andor', 'careerready', '.']"
11,20150805_GOP_cleveland_0595,"['singlepayer', 'system', ',', 'canadianstyle', 'system', '.']"
12,20151013_democrats_las_vegas_0097,"['africanamerican', 'youth', 'unemployment', '51', 'percent', '.']"
13,20151013_democrats_las_vegas_0098,"['hispanic', 'youth', 'unemployment', '36', 'percent', '.']"
14,20151013_democrats_las_vegas_0146,"['say', ',', 'secretary', 'state', ',', 'three', 'years', 'ago', ',', 'hoped', 'would', 'gold', 'standard', '.']"
15,20151013_democrats_las_vegas_0146,"['say', ',', 'secretary', 'state', ',', 'three', 'years', 'ago', ',', 'hoped', 'would', 'gold', 'standard', '.']"
