,tweet_ids,tweet_encodings
0,20121023_third_presidential_debate_0959,"[ 0.00746889 -0.00596023  0.04945519 ...  0.03973029  0.02362433
 -0.01046701]"
1,20121023_third_presidential_debate_0985,"[ 0.00746889 -0.01633972  0.10997616 ...  0.07263374  0.05145294
  0.01275984]"
2,20121023_third_presidential_debate_0753,"[ 0.00746889 -0.06108648  0.00609682 ...  0.01894393 -0.00731273
  0.01353104]"
3,20121023_third_presidential_debate_0473,"[ 0.00746889 -0.02781819  0.1286528  ...  0.01276109 -0.01884607
  0.0324245 ]"
4,20121023_third_presidential_debate_0609,"[ 0.00746889  0.01274597  0.04571304 ...  0.08383518 -0.00456551
  0.01036614]"
5,20121023_third_presidential_debate_0088,"[ 0.00746889 -0.02418823  0.17786773 ...  0.05370371  0.04425332
  0.02104181]"
6,20121023_third_presidential_debate_0459,[0.00746889 0.01694253 0.05017744 ... 0.03445392 0.00237026 0.01109527]
7,20121023_third_presidential_debate_0605,"[ 0.00746889 -0.04117322  0.08018849 ...  0.07901113  0.04957802
  0.01154505]"
8,20121023_third_presidential_debate_0684,[0.00746889 0.16556148 0.05342836 ... 0.04408144 0.0502016  0.00749138]
9,20121023_third_presidential_debate_0884,"[ 0.00746889 -0.00596023  0.03650225 ...  0.00292272  0.0365312
 -0.00829471]"
10,20150805_GOP_cleveland_0767,[0.00746889 0.01933717 0.02910674 ... 0.0608381  0.04479613 0.00298721]
11,20150805_GOP_cleveland_0595,"[ 0.00746889 -0.00596023  0.02876004 ... -0.0340024  -0.01741349
  0.0039232 ]"
12,20151013_democrats_las_vegas_0097,"[ 0.00746889 -0.12964334  0.01267107 ... -0.00310741  0.06599814
  0.02364551]"
13,20151013_democrats_las_vegas_0098,"[ 0.00746889 -0.13059396  0.03353762 ... -0.00743971  0.04147428
  0.02614122]"
14,20151013_democrats_las_vegas_0146,"[ 0.00746889 -0.02781819  0.1336094  ...  0.07279146 -0.00310625
  0.0040343 ]"
15,20151013_democrats_las_vegas_0146,"[ 0.00746889 -0.02781819  0.1336094  ...  0.07279146 -0.00310625
  0.0040343 ]"
16,20151013_democrats_las_vegas_0305,"[ 0.00746889  0.04407071  0.08797462 ...  0.02342742  0.02472899
 -0.0002698 ]"
17,20151013_democrats_las_vegas_0096,"[ 0.00746889 -0.03596886  0.02745061 ...  0.04583462  0.06164796
  0.00314279]"
18,20151013_democrats_las_vegas_0962,"[ 0.00746889 -0.00379082 -0.03264638 ...  0.06585179 -0.02781221
  0.00930685]"
19,20151013_democrats_las_vegas_0182,"[ 0.00746889 -0.00596023  0.09110378 ...  0.05109729  0.06160548
  0.00233478]"
20,20151013_democrats_las_vegas_1475,"[ 0.00746889 -0.04778164  0.07474403 ...  0.02160597  0.09272938
  0.01344281]"
21,20151013_democrats_las_vegas_1227,"[ 0.00746889  0.0117536  -0.00282231 ...  0.05712656  0.00710669
  0.02429495]"
22,20151013_democrats_las_vegas_1228,[0.00746889 0.0117536  0.02169789 ... 0.05650398 0.00710669 0.02429495]
23,20151028_GOP_boulder_0923,"[ 0.00746889 -0.0456968   0.05976101 ...  0.04092392  0.05611829
  0.00625192]"
24,20151028_GOP_boulder_0923,"[ 0.00746889 -0.0456968   0.05976101 ...  0.04092392  0.05611829
  0.00625192]"
25,20151028_GOP_boulder_0115,[0.00746889 0.00853798 0.11422613 ... 0.0483624  0.06522588 0.00253751]
26,20151028_GOP_boulder_0367,"[ 0.00746889 -0.05622551  0.0001146  ...  0.04397606  0.01541093
 -0.01385639]"
27,20151028_GOP_boulder_0842,"[ 0.00746889 -0.03463106  0.03425093 ...  0.04344071  0.06705016
  0.00258467]"
28,20151028_GOP_boulder_0949,"[ 0.00746889 -0.05849236  0.08439949 ...  0.0507969   0.04077962
  0.02426646]"
29,20151028_GOP_boulder_0950,"[ 0.00746889 -0.06393001  0.0933459  ...  0.01829215  0.03932644
  0.01136638]"
30,20151028_GOP_boulder_0958,"[ 0.00746889  0.0029352  -0.00058979 ...  0.0446117   0.00849253
  0.00589786]"
31,20151028_GOP_boulder_0744,"[ 0.00746889 -0.04192274  0.0550953  ...  0.062274    0.05738889
  0.00215796]"
32,20151028_GOP_boulder_0916,"[ 0.00746889 -0.0322251   0.09549391 ...  0.02367173  0.0526608
  0.0152892 ]"
33,20151028_GOP_boulder_1032,[0.00746889 0.11176978 0.10078734 ... 0.04715922 0.06805414 0.02286736]
34,20151028_GOP_boulder_1435,"[ 0.00746889  0.0860351   0.02743937 ...  0.03905419 -0.00178711
 -0.00349143]"
35,20151110_GOP_milwuakee_0389,"[ 0.00746889 -0.09268677  0.05969375 ...  0.04103058  0.00594976
  0.03491703]"
36,20151110_GOP_milwuakee_0275,"[ 0.00746889 -0.06393126  0.00453782 ...  0.02407483  0.01209383
  0.01518694]"
37,20151110_GOP_milwuakee_0888,"[ 0.00746889 -0.04778164  0.04913495 ...  0.04257108  0.0844704
  0.02783835]"
38,20151110_GOP_milwuakee_0875,"[ 0.00746889 -0.0567308   0.05138109 ...  0.02724915  0.02894271
  0.01393693]"
39,20151110_GOP_milwuakee_0656,"[ 0.00746889 -0.04830916  0.12328251 ...  0.00071385  0.00709968
  0.02431207]"
40,20151110_GOP_milwuakee_0566,"[ 0.00746889 -0.02781819  0.01466138 ...  0.02244006  0.04850712
 -0.01162426]"
41,20151110_GOP_milwuakee_0567,"[ 0.00746889 -0.02781819  0.06487583 ...  0.01724715  0.08334117
 -0.01251914]"
